subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;1;1;1;0;22,95712626;-2,293797325;1,213477151
1;0;0;1;0;6,750557558;6,301607244;1,483516166;3,897239086
1;0;1;1;1;-3,879803553;-7,018638925;4,064308373;0
1;0;0;0;1;6,644312556;-23,75841064;18,19070222;-2,400452553
1;0;1;0;0;-1,448854061;0;-6,925641326;-3,226384915
1;0;1;1;1;-9,807390803;0;2,239148925;-21,31358512
1;0;0;0;1;19,24799387;4,73806639;-11,54647171;-10,08013779
1;0;1;1;1;0;17,50067887;-7,753514287;23,56771668
1;0;1;0;0;0,787717178;-8,714469493;0;15,7205525
1;0;0;0;1;4,43831324;3,633817781;25,80504078;-1,992355873
1;0;0;0;1;6,025180249;23,10338644;-28,59995228;-10,91993539
1;0;1;0;0;-4,217096046;0;-23,96666425;25,05196443
1;0;0;1;0;19,19375895;-2,728710954;-17,29621027;-4,846251435
1;0;1;0;0;0;-0,602718837;2,902930093;-16,49711298
1;0;1;1;1;0;-0,471696933;12,23548581;19,22866512
1;0;0;1;0;34,27271255;10,68898324;18,43261276;4,222599859
1;0;0;1;0;16,50811074;18,46177253;6,474540262;13,34267594
1;0;0;1;0;7,032825718;8,503193398;-16,86888565;-4,39480788
1;0;1;1;1;-31,11085677;-15,85862763;-2,849542368;0
1;0;1;1;1;30,26660932;-8,423406877;0;5,40353007
1;0;1;1;1;-1,237631439;0;14,99968348;5,656971671
1;0;0;0;1;2,767246204;1,005592221;-12,32607979;-20,96264494
1;0;0;1;0;-10,80433679;23,28279373;-20,88307384;4,217823526
1;0;1;1;1;0;-9,529950115;-3,094137186;-24,0008097
1;0;1;0;0;-29,44029503;-19,9222449;26,76418208;0
1;0;1;0;0;-29,31056007;-2,208244186;9,851579473;0
1;0;1;1;1;0;23,66035254;-24,53554828;2,207420469
1;0;0;0;1;13,80502824;-8,451149313;10,59372439;19,01226454
1;0;0;1;0;-26,26849712;-10,91077178;1,612471657;-1,846997209
1;0;1;1;1;0;-4,049319217;32,86821379;12,02358058
1;0;0;0;1;2,961658304;7,044144258;17,8061945;-3,036051135
1;0;0;1;0;-5,757190892;17,22620231;-17,13697917;1,421470428
1;0;0;1;0;-7,829350616;28,7274847;5,535151484;-4,981994353
1;0;1;0;0;7,566619846;-1,442556212;-12,2482742;0
1;0;0;1;0;-5,953455487;23,96648103;14,45060258;0,16315802
1;0;1;1;1;-1,897627112;0;-6,707035853;0,007330322
1;0;1;1;1;9,101871713;0,765725227;-5,449651662;0
1;0;0;0;1;6,731854185;10,42531139;-9,718406515;-30,80156256
1;0;0;0;1;11,91345428;-24,6462481;30,16507593;-14,17613502
1;0;1;0;0;33,21695717;-21,95661673;0;-1,923303999
1;0;0;1;0;-0,815566447;15,87122887;18,54869324;-3,147940853
1;0;1;0;0;0;1,007993284;10,69377352;16,51692591
1;0;0;0;1;5,709849718;-17,23691131;20,07334134;-20,81649024
1;0;0;1;0;-8,976155071;-6,254684974;-12,30560229;7,523592758
1;0;0;0;1;11,26907732;0,416663885;-16,48531836;-22,78228712
1;0;0;1;0;-7,222896814;1,472869098;-13,41010421;-5,93106225
1;0;1;1;1;1,903438163;3,677860876;0;-6,706002528
1;0;1;1;1;0,351433599;-10,59980416;-11,46197353;0
1;0;0;1;0;39,00577215;8,381922685;-10,15813422;9,781432233
1;0;0;0;1;19,73700534;24,6330007;12,29668532;6,597700049
1;0;1;0;0;-13,29585696;22,55970049;0;16,9854825
1;0;0;1;0;1,044692172;-0,082996437;13,57481671;23,82901958
1;0;0;0;1;14,83249709;-17,55345356;7,374268647;-6,97379356
1;0;1;0;0;-22,09651275;24,77345593;0;-22,38988423
1;0;1;0;0;0;5,198259565;-41,01939;10,43762545
1;0;0;1;0;1,140724522;-8,891274591;-12,74228459;0,63536387
1;0;0;1;0;11,01110164;-1,302500971;-5,994477575;-4,323450696
