loc_id,posx,posy,posx_deg,posy_deg
1,-320,-320,-4.800000e+00,-4.800000e+00
2,-220,-320,-3.300000e+00,-4.800000e+00
3,-120,-320,-1.800000e+00,-4.800000e+00
4,-320,-220,-4.800000e+00,-3.300000e+00
5,-220,-220,-3.300000e+00,-3.300000e+00
6,-120,-220,-1.800000e+00,-3.300000e+00
7,-320,-120,-4.800000e+00,-1.800000e+00
8,-220,-120,-3.300000e+00,-1.800000e+00
9,-120,-120,-1.800000e+00,-1.800000e+00
10,20,-320,3.000000e-01,-4.800000e+00
11,120,-320,1.800000e+00,-4.800000e+00
12,220,-320,3.300000e+00,-4.800000e+00
13,20,-220,3.000000e-01,-3.300000e+00
14,120,-220,1.800000e+00,-3.300000e+00
15,220,-220,3.300000e+00,-3.300000e+00
16,20,-120,3.000000e-01,-1.800000e+00
17,120,-120,1.800000e+00,-1.800000e+00
18,220,-120,3.300000e+00,-1.800000e+00
19,-320,20,-4.800000e+00,3.000000e-01
20,-220,20,-3.300000e+00,3.000000e-01
21,-120,20,-1.800000e+00,3.000000e-01
22,-320,120,-4.800000e+00,1.800000e+00
23,-220,120,-3.300000e+00,1.800000e+00
24,-120,120,-1.800000e+00,1.800000e+00
25,-320,220,-4.800000e+00,3.300000e+00
26,-220,220,-3.300000e+00,3.300000e+00
27,-120,220,-1.800000e+00,3.300000e+00
28,20,20,3.000000e-01,3.000000e-01
29,120,20,1.800000e+00,3.000000e-01
30,220,20,3.300000e+00,3.000000e-01
31,20,120,3.000000e-01,1.800000e+00
32,120,120,1.800000e+00,1.800000e+00
33,220,120,3.300000e+00,1.800000e+00
34,20,220,3.000000e-01,3.300000e+00
35,120,220,1.800000e+00,3.300000e+00
36,220,220,3.300000e+00,3.300000e+00
