trial_id,is_target,color,shape
1,1,red,T
3,1,red,T
6,1,red,T
7,1,red,T
8,1,red,T
9,1,red,T
10,1,red,T
11,1,red,T
15,1,red,T
17,1,red,T
18,1,red,T
23,1,red,T
24,1,red,T
25,1,red,T
26,1,red,T
27,1,red,T
30,1,red,T
32,1,red,T
34,1,red,T
36,1,red,T
38,1,red,T
44,1,red,T
45,1,red,T
47,1,red,T
49,1,red,T
50,1,red,T
54,1,red,T
55,1,red,T
57,1,red,T
59,1,red,T
60,1,red,T
61,1,red,T
62,1,red,T
64,1,red,T
65,1,red,T
66,1,red,T
67,1,red,T
70,1,red,T
72,1,red,T
73,1,red,T
78,1,red,T
81,1,red,T
83,1,red,T
86,1,red,T
87,1,red,T
89,1,red,T
90,1,red,T
91,1,red,T
92,1,red,T
95,1,red,T
96,1,red,T
98,1,red,T
99,1,red,T
100,1,red,T
101,1,red,T
102,1,red,T
103,1,red,T
106,1,red,T
107,1,red,T
108,1,red,T
109,1,red,T
111,1,red,T
112,1,red,T
113,1,red,T
115,1,red,T
120,1,red,T
122,1,red,T
126,1,red,T
127,1,red,T
128,1,red,T
129,1,red,T
130,1,red,T
132,1,red,T
133,1,red,T
137,1,red,T
140,1,red,T
141,1,red,T
143,1,red,T
147,1,red,T
149,1,red,T
151,1,red,T
152,1,red,T
153,1,red,T
155,1,red,T
156,1,red,T
157,1,red,T
158,1,red,T
159,1,red,T
160,1,red,T
161,1,red,T
164,1,red,T
167,1,red,T
168,1,red,T
170,1,red,T
172,1,red,T
173,1,red,T
174,1,red,T
175,1,red,T
176,1,red,T
177,1,red,T
179,1,red,T
180,1,red,T
184,1,red,T
185,1,red,T
195,1,red,T
201,1,red,T
202,1,red,T
203,1,red,T
204,1,red,T
207,1,red,T
209,1,red,T
210,1,red,T
211,1,red,T
212,1,red,T
213,1,red,T
215,1,red,T
216,1,red,T
217,1,red,T
220,1,red,T
223,1,red,T
224,1,red,T
225,1,red,T
230,1,red,T
232,1,red,T
237,1,red,T
238,1,red,T
239,1,red,T
240,1,red,T
243,1,red,T
244,1,red,T
247,1,red,T
248,1,red,T
251,1,red,T
255,1,red,T
256,1,red,T
257,1,red,T
258,1,red,T
261,1,red,T
263,1,red,T
265,1,red,T
269,1,red,T
273,1,red,T
276,1,red,T
278,1,red,T
279,1,red,T
281,1,red,T
282,1,red,T
283,1,red,T
284,1,red,T
286,1,red,T
287,1,red,T
288,1,red,T
289,1,red,T
293,1,red,T
295,1,red,T
296,1,red,T
298,1,red,T
299,1,red,T
300,1,red,T
302,1,red,T
306,1,red,T
307,1,red,T
308,1,red,T
311,1,red,T
313,1,red,T
316,1,red,T
318,1,red,T
320,1,red,T
321,1,red,T
322,1,red,T
325,1,red,T
330,1,red,T
333,1,red,T
334,1,red,T
338,1,red,T
339,1,red,T
340,1,red,T
341,1,red,T
342,1,red,T
346,1,red,T
347,1,red,T
353,1,red,T
354,1,red,T
355,1,red,T
358,1,red,T
361,1,red,T
365,1,red,T
366,1,red,T
370,1,red,T
371,1,red,T
374,1,red,T
376,1,red,T
377,1,red,T
378,1,red,T
383,1,red,T
384,1,red,T
387,1,red,T
388,1,red,T
389,1,red,T
391,1,red,T
393,1,red,T
394,1,red,T
395,1,red,T
396,1,red,T
398,1,red,T
399,1,red,T
401,1,red,T
402,1,red,T
405,1,red,T
406,1,red,T
407,1,red,T
413,1,red,T
414,1,red,T
415,1,red,T
416,1,red,T
420,1,red,T
422,1,red,T
424,1,red,T
428,1,red,T
429,1,red,T
431,1,red,T
433,1,red,T
434,1,red,T
435,1,red,T
436,1,red,T
437,1,red,T
439,1,red,T
440,1,red,T
441,1,red,T
444,1,red,T
445,1,red,T
446,1,red,T
450,1,red,T
454,1,red,T
455,1,red,T
456,1,red,T
457,1,red,T
459,1,red,T
460,1,red,T
461,1,red,T
466,1,red,T
467,1,red,T
469,1,red,T
470,1,red,T
473,1,red,T
474,1,red,T
476,1,red,T
477,1,red,T
478,1,red,T
479,1,red,T
483,1,red,T
484,1,red,T
487,1,red,T
489,1,red,T
491,1,red,T
493,1,red,T
495,1,red,T
496,1,red,T
497,1,red,T
498,1,red,T
500,1,red,T
501,1,red,T
502,1,red,T
503,1,red,T
506,1,red,T
509,1,red,T
510,1,red,T
514,1,red,T
516,1,red,T
517,1,red,T
522,1,red,T
523,1,red,T
527,1,red,T
529,1,red,T
530,1,red,T
533,1,red,T
534,1,red,T
536,1,red,T
537,1,red,T
538,1,red,T
540,1,red,T
541,1,red,T
543,1,red,T
544,1,red,T
545,1,red,T
550,1,red,T
552,1,red,T
554,1,red,T
555,1,red,T
556,1,red,T
562,1,red,T
566,1,red,T
570,1,red,T
573,1,red,T
575,1,red,T
577,1,red,T
578,1,red,T
585,1,red,T
586,1,red,T
587,1,red,T
589,1,red,T
590,1,red,T
592,1,red,T
593,1,red,T
594,1,red,T
599,1,red,T
600,1,red,T
605,1,red,T
606,1,red,T
613,1,red,T
614,1,red,T
617,1,red,T
619,1,red,T
620,1,red,T
623,1,red,T
627,1,red,T
630,1,red,T
632,1,red,T
633,1,red,T
634,1,red,T
637,1,red,T
639,1,red,T
644,1,red,T
647,1,red,T
648,1,red,T
650,1,red,T
651,1,red,T
652,1,red,T
653,1,red,T
656,1,red,T
657,1,red,T
659,1,red,T
662,1,red,T
663,1,red,T
664,1,red,T
665,1,red,T
667,1,red,T
669,1,red,T
671,1,red,T
674,1,red,T
675,1,red,T
679,1,red,T
681,1,red,T
682,1,red,T
691,1,red,T
694,1,red,T
697,1,red,T
698,1,red,T
699,1,red,T
700,1,red,T
701,1,red,T
702,1,red,T
703,1,red,T
704,1,red,T
705,1,red,T
708,1,red,T
709,1,red,T
710,1,red,T
711,1,red,T
712,1,red,T
713,1,red,T
715,1,red,T
716,1,red,T
717,1,red,T
719,1,red,T
721,1,red,T
722,1,red,T
725,1,red,T
727,1,red,T
728,1,red,T
729,1,red,T
731,1,red,T
734,1,red,T
735,1,red,T
737,1,red,T
738,1,red,T
740,1,red,T
742,1,red,T
743,1,red,T
745,1,red,T
748,1,red,T
750,1,red,T
752,1,red,T
753,1,red,T
754,1,red,T
755,1,red,T
756,1,red,T
760,1,red,T
761,1,red,T
764,1,red,T
767,1,red,T
768,1,red,T
770,1,red,T
774,1,red,T
775,1,red,T
780,1,red,T
781,1,red,T
784,1,red,T
786,1,red,T
787,1,red,T
788,1,red,T
789,1,red,T
795,1,red,T
798,1,red,T
800,1,red,T
801,1,red,T
802,1,red,T
804,1,red,T
805,1,red,T
806,1,red,T
808,1,red,T
809,1,red,T
810,1,red,T
811,1,red,T
812,1,red,T
815,1,red,T
816,1,red,T
820,1,red,T
822,1,red,T
824,1,red,T
826,1,red,T
829,1,red,T
832,1,red,T
834,1,red,T
835,1,red,T
837,1,red,T
839,1,red,T
842,1,red,T
845,1,red,T
846,1,red,T
847,1,red,T
849,1,red,T
853,1,red,T
854,1,red,T
855,1,red,T
857,1,red,T
858,1,red,T
860,1,red,T
862,1,red,T
865,1,red,T
867,1,red,T
868,1,red,T
877,1,red,T
880,1,red,T
882,1,red,T
883,1,red,T
884,1,red,T
885,1,red,T
887,1,red,T
888,1,red,T
889,1,red,T
890,1,red,T
892,1,red,T
894,1,red,T
895,1,red,T
897,1,red,T
898,1,red,T
900,1,red,T
901,1,red,T
902,1,red,T
903,1,red,T
908,1,red,T
909,1,red,T
910,1,red,T
914,1,red,T
916,1,red,T
918,1,red,T
921,1,red,T
923,1,red,T
924,1,red,T
925,1,red,T
926,1,red,T
927,1,red,T
928,1,red,T
931,1,red,T
932,1,red,T
934,1,red,T
935,1,red,T
938,1,red,T
940,1,red,T
942,1,red,T
946,1,red,T
949,1,red,T
951,1,red,T
952,1,red,T
953,1,red,T
956,1,red,T
959,1,red,T
960,1,red,T
964,1,red,T
965,1,red,T
966,1,red,T
968,1,red,T
969,1,red,T
970,1,red,T
972,1,red,T
975,1,red,T
976,1,red,T
977,1,red,T
978,1,red,T
981,1,red,T
984,1,red,T
985,1,red,T
992,1,red,T
993,1,red,T
995,1,red,T
996,1,red,T
997,1,red,T
998,1,red,T
999,1,red,T
1000,1,red,T
1001,1,red,T
1003,1,red,T
1004,1,red,T
1007,1,red,T
1008,1,red,T
1010,1,red,T
1011,1,red,T
1012,1,red,T
1014,1,red,T
1017,1,red,T
1019,1,red,T
1020,1,red,T
1021,1,red,T
1024,1,red,T
1029,1,red,T
1031,1,red,T
1037,1,red,T
1039,1,red,T
1040,1,red,T
1043,1,red,T
1044,1,red,T
1049,1,red,T
1051,1,red,T
1055,1,red,T
1057,1,red,T
1058,1,red,T
1059,1,red,T
1060,1,red,T
1061,1,red,T
1064,1,red,T
1066,1,red,T
1069,1,red,T
1071,1,red,T
1074,1,red,T
1075,1,red,T
1078,1,red,T
1079,1,red,T
1081,1,red,T
1082,1,red,T
1083,1,red,T
1086,1,red,T
1088,1,red,T
1090,1,red,T
1091,1,red,T
1092,1,red,T
1093,1,red,T
