trial_id,Subject,block_n,Trial,set_size,correctResponse,condition,keyResponse,acc,RT
1,1,1,1,5,0,4 distractors,0,1,2149
2,1,1,2,5,1,4 distractors,1,1,1160
3,1,1,3,21,1,4 distractors,1,1,1907
4,1,1,4,17,1,8 distractors,1,1,1333
5,1,1,5,17,1,8 distractors,1,1,1233
6,1,1,6,37,1,8 distractors,1,1,1024
7,1,1,7,33,0,4 distractors,0,1,1027
8,1,1,8,21,0,4 distractors,0,1,1257
9,1,1,9,33,0,4 distractors,0,1,1063
10,1,1,10,13,0,8 distractors,0,1,2237
11,1,1,11,13,0,8 distractors,0,1,1243
12,1,1,12,37,0,8 distractors,0,1,2686
13,1,1,13,37,1,8 distractors,1,1,2957
14,1,1,14,37,0,8 distractors,0,1,827
15,1,1,15,25,0,8 distractors,0,1,1622
16,1,1,16,33,0,4 distractors,0,1,1153
17,1,1,17,9,1,8 distractors,1,1,3309
18,1,1,18,9,0,4 distractors,0,1,1131
19,1,1,19,9,1,4 distractors,1,1,701
20,1,1,20,9,0,8 distractors,0,1,1555
21,1,1,21,5,1,4 distractors,1,1,1257
22,1,1,22,13,0,8 distractors,0,0,1764
23,1,1,23,17,1,8 distractors,1,1,734
24,1,1,24,9,0,4 distractors,0,1,794
25,1,1,25,9,0,4 distractors,0,1,937
26,1,1,26,9,1,4 distractors,1,1,769
27,1,1,27,21,1,4 distractors,1,1,512
28,1,1,28,9,1,8 distractors,1,1,1332
29,1,1,29,9,0,4 distractors,0,1,873
30,1,1,30,5,1,4 distractors,1,1,476
31,1,1,31,13,1,4 distractors,1,1,1161
32,1,1,32,21,1,4 distractors,1,1,1218
33,1,1,33,9,0,4 distractors,0,1,1225
34,1,1,34,9,1,8 distractors,1,1,2043
35,1,1,35,5,0,4 distractors,0,1,1003
36,1,1,36,9,0,4 distractors,0,1,1103
37,1,1,37,9,1,8 distractors,1,1,921
38,1,1,38,25,1,8 distractors,1,1,1156
39,1,1,39,25,1,8 distractors,1,1,1837
40,1,1,40,25,0,8 distractors,0,1,1129
41,1,1,41,33,1,4 distractors,1,1,793
42,1,1,42,21,1,4 distractors,1,1,651
43,1,1,43,13,0,4 distractors,0,1,1888
44,1,1,44,33,0,4 distractors,0,1,1013
45,1,1,45,9,0,4 distractors,0,1,893
46,1,1,46,17,1,8 distractors,1,1,1941
47,1,1,47,13,1,4 distractors,1,1,1380
48,1,1,48,13,0,8 distractors,0,1,1934
49,1,1,49,21,1,4 distractors,1,1,1107
50,1,1,50,21,1,4 distractors,1,1,1464
51,1,1,51,9,1,4 distractors,1,1,889
52,1,1,52,9,1,4 distractors,1,1,1556
53,1,1,53,37,1,8 distractors,1,1,1008
54,1,1,54,25,1,8 distractors,1,1,1059
55,1,1,55,13,1,8 distractors,1,1,1056
56,1,1,56,17,1,8 distractors,1,1,1066
57,1,1,57,5,1,4 distractors,1,1,985
58,1,1,58,17,1,8 distractors,1,1,836
59,1,1,59,33,1,4 distractors,1,1,1156
60,1,1,60,21,1,4 distractors,1,1,799
61,1,1,61,25,0,8 distractors,0,1,2583
62,1,1,62,5,0,4 distractors,0,1,939
63,1,1,63,21,0,4 distractors,0,1,1297
64,1,1,64,13,0,4 distractors,0,1,1059
65,1,1,65,13,0,4 distractors,0,1,1084
66,1,1,66,33,0,4 distractors,0,1,1430
67,1,1,67,37,0,8 distractors,0,1,1002
68,1,1,68,5,0,4 distractors,0,1,672
69,1,1,69,9,1,4 distractors,1,1,725
70,1,1,70,37,1,8 distractors,1,1,2416
71,1,1,71,17,0,8 distractors,0,1,1128
72,1,1,72,25,1,8 distractors,1,1,1984
73,1,1,73,33,1,4 distractors,1,1,1011
74,1,1,74,5,0,4 distractors,0,1,1014
75,1,1,75,21,1,4 distractors,1,1,1048
76,1,1,76,5,1,4 distractors,1,1,665
77,1,1,77,13,1,8 distractors,1,1,1851
78,1,1,78,13,1,8 distractors,1,1,1329
79,1,1,79,9,0,8 distractors,0,1,802
80,1,1,80,5,0,4 distractors,0,1,603
81,1,1,81,37,1,8 distractors,1,1,1738
82,1,1,82,13,1,4 distractors,1,1,938
83,1,1,83,13,0,8 distractors,0,1,1059
84,1,1,84,9,0,8 distractors,0,1,1881
85,1,1,85,25,0,8 distractors,0,1,1590
86,1,1,86,13,0,8 distractors,0,1,1075
87,1,1,87,25,0,8 distractors,0,1,1024
88,1,1,88,5,0,4 distractors,0,1,1024
89,1,1,89,33,1,4 distractors,1,1,843
90,1,1,90,9,0,4 distractors,0,1,797
91,1,1,91,5,1,4 distractors,1,1,817
92,1,1,92,25,1,8 distractors,1,1,1372
93,1,1,93,25,1,8 distractors,1,1,838
94,1,1,94,13,0,8 distractors,0,1,2118
95,1,1,95,9,0,8 distractors,0,1,2190
96,1,1,96,9,0,4 distractors,0,1,906
97,1,1,97,21,1,4 distractors,1,1,606
98,1,1,98,9,0,4 distractors,0,1,605
99,1,1,99,37,0,8 distractors,0,1,2106
100,1,1,100,17,0,8 distractors,0,1,701
101,1,1,101,25,1,8 distractors,1,1,734
102,1,1,102,13,0,8 distractors,0,1,875
103,1,1,103,17,1,8 distractors,1,1,1271
104,1,1,104,37,1,8 distractors,1,1,1159
105,1,1,105,9,0,4 distractors,0,1,568
106,1,1,106,25,0,8 distractors,0,1,2123
107,1,1,107,13,1,8 distractors,1,1,501
108,1,1,108,33,1,4 distractors,1,1,1547
109,1,1,109,5,0,4 distractors,0,1,820
110,1,1,110,37,1,8 distractors,1,1,1041
111,1,1,111,9,1,8 distractors,1,1,876
112,1,1,112,17,1,8 distractors,1,1,1387
113,1,1,113,5,1,4 distractors,1,1,556
114,1,1,114,21,1,4 distractors,1,1,726
115,1,1,115,17,0,8 distractors,0,1,1632
116,1,1,116,13,1,4 distractors,1,1,737
117,1,1,117,17,0,8 distractors,0,1,1143
118,1,1,118,9,0,8 distractors,0,1,1406
119,1,1,119,33,0,4 distractors,0,1,893
120,1,1,120,33,1,4 distractors,1,1,863
121,1,1,121,33,1,4 distractors,1,1,885
122,1,1,122,13,1,8 distractors,1,1,951
123,1,1,123,9,1,8 distractors,1,1,2487
124,1,1,124,5,1,4 distractors,1,1,1178
125,1,1,125,25,1,8 distractors,1,1,1078
126,1,1,126,25,1,8 distractors,1,1,1864
127,1,1,127,21,1,4 distractors,1,1,1176
128,1,1,128,9,1,4 distractors,1,1,816
129,1,1,129,9,1,8 distractors,1,1,1076
130,1,1,130,17,1,8 distractors,1,1,821
131,1,1,131,37,1,8 distractors,1,1,563
132,1,1,132,21,0,4 distractors,0,1,1041
133,1,1,133,13,1,4 distractors,1,1,510
134,1,1,134,25,1,8 distractors,1,1,1037
135,1,1,135,37,1,8 distractors,1,1,992
136,1,1,136,33,0,4 distractors,0,1,1118
137,1,1,137,5,0,4 distractors,0,1,862
138,1,1,138,5,0,4 distractors,0,1,666
139,1,1,139,13,1,4 distractors,1,1,748
140,1,1,140,9,1,8 distractors,1,1,546
141,1,1,141,13,1,4 distractors,1,1,988
142,1,1,142,13,0,8 distractors,0,1,980
143,1,1,143,17,1,8 distractors,1,1,1450
144,1,1,144,25,1,8 distractors,1,1,641
145,1,1,145,33,1,4 distractors,1,1,1287
146,1,1,146,5,1,4 distractors,1,1,772
147,1,1,147,33,1,4 distractors,1,1,909
148,1,1,148,13,0,8 distractors,0,1,1745
149,1,1,149,13,0,8 distractors,0,1,648
150,1,1,150,13,0,8 distractors,0,1,612
151,1,1,151,9,0,4 distractors,0,1,1030
152,1,1,152,25,1,8 distractors,1,1,857
153,1,1,153,13,0,4 distractors,0,1,656
154,1,1,154,17,0,8 distractors,0,0,887
155,1,1,155,37,1,8 distractors,1,1,1379
156,1,1,156,13,1,4 distractors,1,1,580
157,1,1,157,9,0,4 distractors,0,1,1534
158,1,1,158,37,1,8 distractors,1,1,2235
159,1,1,159,9,1,8 distractors,1,1,805
160,1,1,160,33,0,4 distractors,0,1,1078
161,1,1,161,25,0,8 distractors,0,1,870
162,1,1,162,25,0,8 distractors,0,1,924
163,1,1,163,5,0,4 distractors,0,0,603
164,1,1,164,5,0,4 distractors,0,1,758
165,1,1,165,9,0,8 distractors,0,1,879
166,1,1,166,13,1,4 distractors,1,1,987
167,1,1,167,21,1,4 distractors,1,1,682
168,1,1,168,5,1,4 distractors,1,1,816
169,1,1,169,9,0,8 distractors,0,1,1003
170,1,1,170,25,1,8 distractors,1,1,911
171,1,1,171,13,0,8 distractors,0,1,1147
172,1,1,172,21,0,4 distractors,0,1,831
173,1,1,173,9,1,4 distractors,1,1,715
174,1,1,174,37,0,8 distractors,0,1,816
175,1,1,175,5,1,4 distractors,1,1,591
176,1,1,176,17,1,8 distractors,1,1,1163
177,1,1,177,25,0,8 distractors,0,1,638
178,1,1,178,5,0,4 distractors,0,1,896
179,1,1,179,13,1,4 distractors,1,1,823
180,1,1,180,25,0,8 distractors,0,1,1008
181,1,1,181,13,0,8 distractors,0,1,647
182,1,1,182,21,1,4 distractors,1,1,753
183,1,1,183,21,0,4 distractors,0,1,1193
184,1,1,184,37,1,8 distractors,1,1,1059
185,1,1,185,37,1,8 distractors,1,1,689
186,1,1,186,13,0,4 distractors,0,1,994
187,1,1,187,33,0,4 distractors,0,1,900
188,1,1,188,21,0,4 distractors,0,1,854
189,1,1,189,33,0,4 distractors,0,1,585
190,1,1,190,9,0,4 distractors,0,1,455
191,1,1,191,13,1,8 distractors,1,1,849
192,1,1,192,33,1,4 distractors,1,1,751
193,1,1,193,13,1,8 distractors,1,1,1373
194,1,1,194,33,0,4 distractors,0,1,874
195,1,1,195,9,0,8 distractors,0,1,1058
196,1,1,196,9,1,8 distractors,1,1,613
197,1,1,197,13,1,8 distractors,1,1,1861
198,1,1,198,17,0,8 distractors,0,1,2511
199,1,1,199,21,0,4 distractors,0,1,837
200,1,1,200,25,1,8 distractors,1,1,1185
201,1,1,201,25,0,8 distractors,0,1,1625
202,1,1,202,9,0,8 distractors,0,1,1414
203,1,1,203,9,0,8 distractors,0,1,1188
204,1,1,204,9,0,8 distractors,0,1,776
205,1,1,205,17,0,8 distractors,0,1,901
206,1,1,206,9,0,8 distractors,0,1,1510
207,1,1,207,33,1,4 distractors,1,1,589
208,1,1,208,9,1,4 distractors,1,1,768
209,1,1,209,9,1,4 distractors,1,1,1029
210,1,1,210,9,0,4 distractors,0,1,562
211,1,1,211,13,0,8 distractors,0,1,846
212,1,1,212,13,0,4 distractors,0,1,1369
213,1,1,213,37,0,8 distractors,0,1,652
214,1,1,214,37,0,8 distractors,0,1,1030
215,1,1,215,21,0,4 distractors,0,1,1125
216,1,1,216,21,0,4 distractors,0,1,961
217,1,1,217,37,0,8 distractors,0,1,903
218,1,1,218,33,1,4 distractors,1,1,1460
219,1,1,219,9,0,4 distractors,0,1,1293
220,1,1,220,9,1,4 distractors,1,1,1180
221,1,1,221,33,0,4 distractors,0,1,1337
222,1,1,222,21,0,4 distractors,0,1,609
223,1,1,223,5,1,4 distractors,1,1,585
224,1,1,224,13,1,8 distractors,1,1,652
225,1,1,225,5,1,4 distractors,1,1,601
226,1,1,226,9,0,8 distractors,0,1,542
227,1,1,227,25,0,8 distractors,0,1,1205
228,1,1,228,13,0,4 distractors,0,1,782
229,1,1,229,13,1,8 distractors,1,1,863
230,1,1,230,13,1,4 distractors,1,1,541
231,1,1,231,37,1,8 distractors,1,1,673
232,1,1,232,17,1,8 distractors,1,1,1991
233,1,1,233,9,0,4 distractors,0,1,634
234,1,1,234,21,1,4 distractors,1,1,746
235,1,1,235,33,0,4 distractors,0,1,742
236,1,1,236,37,1,8 distractors,1,1,1568
237,1,1,237,5,1,4 distractors,1,1,604
238,1,1,238,21,1,4 distractors,1,1,1143
239,1,1,239,21,1,4 distractors,1,1,607
240,1,1,240,9,0,8 distractors,0,1,790
241,1,1,241,17,1,8 distractors,1,1,681
242,1,1,242,21,1,4 distractors,1,1,632
243,1,1,243,13,1,8 distractors,1,1,1298
244,1,1,244,37,0,8 distractors,0,1,1350
245,1,1,245,17,1,8 distractors,1,1,738
246,1,1,246,9,1,4 distractors,1,1,1110
247,1,1,247,13,0,8 distractors,0,1,1870
248,1,1,248,37,0,8 distractors,0,1,1028
249,1,1,249,5,0,4 distractors,0,1,834
250,1,1,250,25,1,8 distractors,1,1,1046
251,1,1,251,37,0,8 distractors,0,1,1478
252,1,1,252,5,1,4 distractors,1,1,1004
253,1,1,253,25,0,8 distractors,0,1,1595
254,1,1,254,13,1,4 distractors,1,1,1152
255,1,1,255,25,0,8 distractors,0,1,1537
256,1,1,256,33,1,4 distractors,1,1,1234
257,1,1,257,13,1,4 distractors,1,1,1222
258,1,1,258,17,0,8 distractors,0,1,764
259,1,1,259,9,0,8 distractors,0,1,1868
260,1,1,260,13,1,8 distractors,1,1,839
261,1,1,261,9,0,8 distractors,0,1,1006
262,1,1,262,5,1,4 distractors,1,1,964
263,1,1,263,9,1,8 distractors,1,1,1016
264,1,1,264,5,0,4 distractors,0,1,1138
265,1,1,265,9,1,8 distractors,1,1,759
266,1,1,266,13,0,8 distractors,0,1,1094
267,1,1,267,33,1,4 distractors,1,1,593
268,1,1,268,25,1,8 distractors,1,1,1033
269,1,1,269,25,0,8 distractors,0,1,1479
270,1,1,270,9,1,4 distractors,1,1,549
271,1,1,271,33,1,4 distractors,1,1,569
272,1,1,272,17,1,8 distractors,1,1,907
273,1,1,273,5,0,4 distractors,0,1,668
274,1,1,274,9,1,8 distractors,1,1,1145
