trial_id,Subject,block_n,Trial,numDistractors,correctResponse,keyResponse,acc,RT
1,1,1,1,8,1,1,1,3346
2,1,1,2,8,0,0,1,1968
3,1,1,3,8,1,1,1,1302
4,1,1,4,4,0,0,1,1086
5,1,1,5,8,0,0,1,2116
6,1,1,6,8,1,1,1,1520
7,1,1,7,8,0,0,1,1711
8,1,1,8,4,1,1,1,1190
9,1,1,9,8,0,0,1,3086
10,1,1,10,8,0,0,1,911
11,1,1,11,4,0,0,1,1164
12,1,1,12,4,0,0,1,699
13,1,1,13,8,1,1,1,1607
14,1,1,14,4,1,1,1,844
15,1,1,15,4,1,1,1,799
16,1,1,16,4,0,0,1,1319
17,1,1,17,8,0,0,1,1006
18,1,1,18,4,0,0,1,1078
19,1,1,19,4,1,1,1,880
20,1,1,20,8,1,1,1,1471
21,1,1,21,4,1,1,1,570
22,1,1,22,4,0,0,1,540
23,1,1,23,8,0,0,1,1034
24,1,1,24,8,0,0,1,1778
25,1,1,25,8,0,0,1,744
26,1,1,26,4,1,1,1,1172
27,1,1,27,4,1,1,1,1336
28,1,1,28,8,0,0,1,3305
29,1,1,29,4,1,1,1,1218
30,1,1,30,4,1,1,1,1580
31,1,1,31,8,1,1,1,4257
32,1,1,32,4,0,0,1,1346
33,1,1,33,4,1,1,1,685
34,1,1,34,8,1,1,1,1417
35,1,1,35,4,1,1,1,550
36,1,1,36,8,0,3,0,4994
37,1,1,37,4,0,0,1,943
38,1,1,38,4,1,1,1,642
39,1,1,39,8,1,1,1,1288
40,1,1,40,4,1,1,1,1927
41,1,1,41,8,0,0,1,2274
42,1,1,42,8,0,0,1,1304
43,1,1,43,8,0,0,1,1470
44,1,1,44,8,0,0,1,722
45,1,1,45,4,0,0,1,1085
46,1,1,46,8,0,0,1,1119
47,1,1,47,8,1,1,1,2347
48,1,1,48,4,1,1,1,1043
49,1,1,49,8,1,1,1,1056
50,1,1,50,8,1,1,1,1178
51,1,1,51,4,0,0,1,797
52,1,1,52,4,1,1,1,799
53,1,1,53,8,0,0,1,2359
54,1,1,54,4,1,1,1,1073
55,1,1,55,4,1,1,1,1098
56,1,1,56,8,1,1,1,699
57,1,1,57,8,0,0,1,1260
58,1,1,58,4,0,0,1,895
59,1,1,59,8,1,1,1,1916
60,1,1,60,8,1,1,1,799
61,1,1,61,8,0,0,1,1019
62,1,1,62,8,0,0,1,655
63,1,1,63,4,0,0,1,712
64,1,1,64,8,1,1,1,1624
65,1,1,65,4,0,0,1,890
66,1,1,66,4,1,1,1,1080
67,1,1,67,8,0,0,1,1384
68,1,1,68,8,0,0,1,1118
69,1,1,69,4,1,1,1,933
70,1,1,70,8,0,0,1,1259
71,1,1,71,8,1,1,1,767
72,1,1,72,4,1,1,1,871
73,1,1,73,8,1,1,1,1199
74,1,1,74,8,0,0,1,1536
75,1,1,75,8,1,1,1,819
76,1,1,76,4,0,0,1,1206
77,1,1,77,8,1,1,1,1289
78,1,1,78,8,1,1,1,1883
79,1,1,79,4,0,0,1,738
80,1,1,80,4,0,0,1,712
81,1,1,81,4,1,1,1,1029
82,1,1,82,4,1,1,1,718
83,1,1,83,4,1,1,1,738
84,1,1,84,8,0,0,1,975
85,1,1,85,8,1,1,1,625
86,1,1,86,4,0,0,1,923
87,1,1,87,4,0,0,1,1120
88,1,1,88,4,1,1,1,884
89,1,1,89,4,1,1,1,909
90,1,1,90,4,0,0,1,1213
91,1,1,91,8,0,0,1,1374
92,1,1,92,4,1,1,1,735
93,1,1,93,8,0,0,0,1657
94,1,1,94,8,0,0,1,867
95,1,1,95,8,1,1,1,1421
96,1,1,96,8,0,0,1,1322
97,1,1,97,8,1,1,1,1544
98,1,1,98,4,1,1,1,893
99,1,1,99,4,1,1,1,918
100,1,1,100,4,0,0,1,799
101,1,1,101,4,0,0,1,855
102,1,1,102,4,1,1,1,966
103,1,1,103,4,0,0,1,784
104,1,1,104,8,1,1,1,1335
105,1,1,105,4,1,1,1,850
106,1,1,106,8,1,1,1,1939
107,1,1,107,4,1,1,1,977
108,1,1,108,8,0,0,1,1065
109,1,1,109,8,1,1,1,960
110,1,1,110,4,0,0,1,808
111,1,1,111,4,1,1,1,696
112,1,1,112,8,0,0,1,802
113,1,1,113,4,0,0,1,741
114,1,1,114,8,0,0,1,1055
115,1,1,115,4,0,0,1,1101
116,1,1,116,4,1,1,1,933
117,1,1,117,8,1,1,1,953
118,1,1,118,8,0,0,1,915
119,1,1,119,4,1,1,1,1149
120,1,1,120,4,0,0,1,721
121,1,1,121,4,1,1,1,1105
122,1,1,122,8,0,0,1,1063
123,1,1,123,8,1,1,1,994
124,1,1,124,8,0,0,1,968
125,1,1,125,8,1,1,1,1529
126,1,1,126,4,0,0,1,1010
127,1,1,127,8,1,1,1,1433
128,1,1,128,4,1,1,1,574
129,1,1,129,4,0,0,1,603
130,1,1,130,8,1,1,1,733
131,1,1,131,8,1,1,1,882
132,1,1,132,4,0,0,1,582
133,1,1,133,8,0,0,1,1159
134,1,1,134,8,0,0,1,927
135,1,1,135,4,1,1,1,542
136,1,1,136,8,1,1,1,1325
137,1,1,137,4,0,0,1,942
138,1,1,138,4,0,0,1,1424
139,1,1,139,4,1,1,1,856
140,1,1,140,8,1,1,1,792
141,1,1,141,4,0,0,1,1305
142,1,1,142,8,0,0,0,1917
143,1,1,143,8,0,0,1,1862
144,1,1,144,8,0,0,1,645
145,1,1,145,8,0,0,1,1394
146,1,1,146,4,1,1,1,467
147,1,1,147,4,1,1,1,1140
148,1,1,148,4,1,1,1,901
149,1,1,149,4,0,0,1,627
150,1,1,150,4,0,0,1,852
151,1,1,151,8,0,0,1,1312
152,1,1,152,4,1,1,1,774
153,1,1,153,8,0,0,1,1329
154,1,1,154,4,1,1,1,747
155,1,1,155,4,1,1,1,835
156,1,1,156,8,1,1,1,702
157,1,1,157,4,0,0,1,773
158,1,1,158,8,1,1,1,1064
159,1,1,159,4,0,0,1,1183
160,1,1,160,8,1,1,1,1245
161,1,1,161,4,1,1,1,907
162,1,1,162,8,0,0,1,652
163,1,1,163,8,1,1,1,933
164,1,1,164,8,0,0,1,1073
165,1,1,165,8,0,0,1,943
166,1,1,166,4,1,1,1,902
167,1,1,167,4,1,1,1,1004
168,1,1,168,8,0,0,1,1299
169,1,1,169,4,1,1,1,885
170,1,1,170,4,0,0,1,964
171,1,1,171,4,1,1,1,835
172,1,1,172,8,0,0,1,1082
173,1,1,173,8,1,1,1,945
174,1,1,174,8,1,1,1,1427
175,1,1,175,4,1,1,1,1370
176,1,1,176,8,0,0,1,1842
177,1,1,177,4,0,0,1,883
178,1,1,178,4,0,0,1,819
179,1,1,179,4,1,1,1,668
180,1,1,180,8,1,1,1,801
