loc_id,posx,posy,posx_deg,posy_deg
1,-101,-27,-1.515000e+00,-4.050000e-01
2,-74,-74,-1.110000e+00,-1.110000e+00
3,-27,-101,-4.050000e-01,-1.515000e+00
4,-188,-50,-2.820000e+00,-7.500000e-01
5,-138,-138,-2.070000e+00,-2.070000e+00
6,-50,-188,-7.500000e-01,-2.820000e+00
7,-350,-94,-5.250000e+00,-1.410000e+00
8,-256,-256,-3.840000e+00,-3.840000e+00
9,-94,-350,-1.410000e+00,-5.250000e+00
10,27,-101,4.050000e-01,-1.515000e+00
11,74,-74,1.110000e+00,-1.110000e+00
12,101,-27,1.515000e+00,-4.050000e-01
13,50,-188,7.500000e-01,-2.820000e+00
14,138,-138,2.070000e+00,-2.070000e+00
15,188,-50,2.820000e+00,-7.500000e-01
16,94,-350,1.410000e+00,-5.250000e+00
17,256,-256,3.840000e+00,-3.840000e+00
18,350,-94,5.250000e+00,-1.410000e+00
19,-27,101,-4.050000e-01,1.515000e+00
20,-74,74,-1.110000e+00,1.110000e+00
21,-101,27,-1.515000e+00,4.050000e-01
22,-50,188,-7.500000e-01,2.820000e+00
23,-138,138,-2.070000e+00,2.070000e+00
24,-188,50,-2.820000e+00,7.500000e-01
25,-94,350,-1.410000e+00,5.250000e+00
26,-256,256,-3.840000e+00,3.840000e+00
27,-350,94,-5.250000e+00,1.410000e+00
28,101,27,1.515000e+00,4.050000e-01
29,74,74,1.110000e+00,1.110000e+00
30,27,101,4.050000e-01,1.515000e+00
31,188,50,2.820000e+00,7.500000e-01
32,138,138,2.070000e+00,2.070000e+00
33,50,188,7.500000e-01,2.820000e+00
34,350,94,5.250000e+00,1.410000e+00
35,256,256,3.840000e+00,3.840000e+00
36,94,350,1.410000e+00,5.250000e+00
