expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,2,0,prime,0,14,-175,10,-64,norm,15,-69,,j,943.78836453,1,,1,1
set_size_experiment_1,1,f,27,2,0,prime,1,14,-161,1,-64,norm,15,-83,,j,661.40660923,1,1,1,2
set_size_experiment_1,1,f,27,2,0,prime,2,14,-159,1,-64,norm,15,-85,,i,599.944253452,1,1,1,3
set_size_experiment_1,1,f,27,2,0,prime,3,14,-153,1,-64,norm,15,89,,i,573.94500263,1,1,1,4
set_size_experiment_1,1,f,27,2,1,probe,0,36,-42,12,-154,norm,10,68,21.678981867,j,593.740018085,1,1,2,5
set_size_experiment_1,1,f,27,2,2,prime,0,24,-107,5,-40,norm,15,67,47.150695803,j,816.180573776,1,1,3,6
set_size_experiment_1,1,f,27,2,2,prime,1,24,-137,4,-40,norm,15,-83,17.150695803,j,744.049748406,1,1,3,7
set_size_experiment_1,1,f,27,2,2,prime,2,24,-133,17,-40,norm,15,-87,21.150695803,i,536.874974146,1,1,3,8
set_size_experiment_1,1,f,27,2,3,probe,0,36,-52,32,-159,norm,10,73,-12.436211547,j,605.553104542,1,1,4,9
set_size_experiment_1,1,f,27,2,3,probe,1,36,-52,15,-158,norm,10,74,-12.436211547,j,499.369946308,1,1,4,10
set_size_experiment_1,1,f,27,2,4,prime,0,36,-162,33,-74,norm,15,88,-3.74102347600001,i,664.874303155,1,1,5,11
set_size_experiment_1,1,f,27,2,4,prime,1,36,-165,14,-74,norm,15,-89,-6.74102347600001,j,493.139171973,1,1,5,12
set_size_experiment_1,1,f,27,2,4,prime,2,36,-193,15,-74,norm,15,-61,-34.741023476,j,503.632641397,1,1,5,13
set_size_experiment_1,1,f,27,2,5,probe,0,36,-104,24,-172,norm,10,-68,-29.686429979,j,543.23728662,1,1,6,14
set_size_experiment_1,1,f,27,2,5,probe,1,36,-104,15,-178,norm,10,-74,-29.686429979,i,519.370730035,1,1,6,15
set_size_experiment_1,1,f,27,2,6,prime,0,36,-3,0,69,uni,15,72,-4.92382199499997,j,620.324268937,1,1,7,16
set_size_experiment_1,1,f,27,2,6,prime,1,36,-31,10,69,uni,15,-80,-32.923821995,i,466.313766316,1,1,7,17
set_size_experiment_1,1,f,27,2,6,prime,2,36,6,23,69,uni,15,63,4.07617800500003,i,650.610830635,1,1,7,18
set_size_experiment_1,1,f,27,2,7,probe,0,36,79,10,15,norm,10,-64,10.020888438,j,541.255746968,1,1,8,19
set_size_experiment_1,1,f,27,2,8,prime,0,36,-22,35,89,norm,15,-69,-37.121108331,i,719.092037529,1,1,9,20
set_size_experiment_1,1,f,27,2,8,prime,1,36,6,6,89,norm,15,83,-9.12110833099999,i,527.494967915,1,1,9,21
set_size_experiment_1,1,f,27,2,8,prime,2,36,-1,11,89,norm,15,-90,-16.121108331,j,489.100706764,1,1,9,22
set_size_experiment_1,1,f,27,2,9,probe,0,36,69,18,-9,norm,10,-78,-20.713783736,j,639.052744955,1,1,10,23
set_size_experiment_1,1,f,27,2,10,prime,0,14,-176,7,-107,uni,15,69,13.363574829,j,1545.74690387,0,1,11,24
set_size_experiment_1,1,f,27,2,10,prime,1,14,-178,10,-107,uni,15,71,11.363574829,j,628.451967612,0,0,11,25
set_size_experiment_1,1,f,27,2,10,prime,2,14,-212,12,-107,uni,15,-75,-22.636425171,j,612.191186287,0,0,11,26
set_size_experiment_1,1,f,27,2,11,probe,0,36,-94,5,-183,norm,10,-89,13.177086441,i,610.417723656,1,0,12,27
set_size_experiment_1,1,f,27,2,12,prime,0,24,-33,7,72,uni,15,-75,-29.836486087,i,1034.66766514,1,1,13,28
set_size_experiment_1,1,f,27,2,12,prime,1,24,-10,14,72,uni,15,82,-6.83648608699997,i,449.483753182,1,1,13,29
set_size_experiment_1,1,f,27,2,12,prime,2,24,3,14,72,uni,15,69,6.16351391300003,i,573.47923331,1,1,13,30
set_size_experiment_1,1,f,27,2,12,prime,3,24,8,19,72,uni,15,64,11.163513913,j,563.136917539,1,1,13,31
set_size_experiment_1,1,f,27,2,13,probe,0,36,119,23,11,norm,10,72,46.18541388,i,537.093050778,1,1,14,32
set_size_experiment_1,1,f,27,2,13,probe,1,36,119,13,25,norm,10,86,46.18541388,j,482.034932822,1,1,14,33
set_size_experiment_1,1,f,27,2,14,prime,0,36,15,35,131,uni,15,-64.0000000004,-9.75224902000002,j,586.158858612,1,1,15,34
set_size_experiment_1,1,f,27,2,14,prime,1,36,45,11,131,uni,15,85.9999999996,20.24775098,i,652.644294314,0,1,15,35
set_size_experiment_1,1,f,27,2,14,prime,2,36,53,17,131,uni,15,77.9999999996,28.24775098,j,1413.22487965,1,0,15,36
set_size_experiment_1,1,f,27,2,14,prime,3,36,26,19,131,uni,15,-75.0000000004,1.24775097999998,i,865.854457952,1,1,15,37
set_size_experiment_1,1,f,27,2,15,probe,0,36,65,9,-40,norm,10,75,-66.0883660896,j,1304.26479504,1,1,16,38
set_size_experiment_1,1,f,27,2,16,prime,0,14,-207,13,-133,uni,15,74,13.715172696,j,1794.07940246,1,1,17,39
set_size_experiment_1,1,f,27,2,16,prime,1,14,-214,11,-133,uni,15,81,6.71517269599997,i,661.63891647,1,1,17,40
set_size_experiment_1,1,f,27,2,16,prime,2,14,-207,13,-133,uni,15,74,13.715172696,i,1036.89458966,1,1,17,41
set_size_experiment_1,1,f,27,2,16,prime,3,14,-230,5,-133,uni,15,-83,-9.28482730400003,j,670.124307275,1,1,17,42
set_size_experiment_1,1,f,27,2,17,probe,0,36,-146,34,-210,norm,10,-64,-13.565005631,i,808.244798332,1,1,18,43
set_size_experiment_1,1,f,27,2,18,prime,0,36,-82,24,25,uni,15,-73,-51.469871891,i,532.280355692,1,1,19,44
set_size_experiment_1,1,f,27,2,18,prime,1,36,-72,29,25,uni,15,-83,-41.469871891,i,618.666576222,1,1,19,45
set_size_experiment_1,1,f,27,2,18,prime,2,36,-68,30,25,uni,15,-87,-37.469871891,j,573.875772767,1,1,19,46
