uid,trial,subAge,block_id,subSex,session,block,tid,response,rt,correct,target_color,target_sex,correctResponse
1,1,53,1,m,1,1,1,9,14879,0,1,2,5
1,2,53,1,m,1,1,2,5,670,0,1,2,1
1,3,53,1,m,1,1,3,5,137735,0,1,2,3
1,4,53,1,m,1,1,4,7,137781,1,1,2,7
1,5,53,1,m,1,1,5,5,100328,1,1,2,5
1,6,53,1,m,1,1,6,3,604,0,1,2,7
1,7,53,1,m,1,1,7,7,723,0,1,2,1
1,8,53,1,m,1,1,8,1,395,0,1,2,4
1,9,53,1,m,1,1,9,9,299966,0,1,2,5
1,10,53,1,m,1,1,10,4,346834,0,1,2,5
1,11,53,1,m,1,1,11,6,141209,1,1,2,6
1,12,53,1,m,1,1,12,4,459262,0,1,2,8
1,13,53,1,m,1,1,13,9,279609,0,1,2,3
1,14,53,1,m,1,1,14,3,952,1,1,2,3
1,15,53,1,m,1,1,15,9,126001,1,1,2,9
1,16,53,1,m,1,1,16,5,120425,1,1,2,5
1,17,53,1,m,1,1,17,9,650,1,1,2,9
1,18,53,1,m,1,1,18,1,812,1,1,2,1
1,19,53,1,m,1,1,19,1,819,1,1,2,1
1,20,53,1,m,1,1,20,3,980,1,1,2,3
1,21,53,1,m,1,1,21,6,134737,1,1,2,6
1,22,53,1,m,1,1,22,6,399335,0,1,2,8
1,23,53,1,m,1,1,23,4,873,0,1,2,7
1,24,53,1,m,1,1,24,2,184051,0,1,2,4
1,25,53,1,m,1,1,25,2,995,1,1,2,2
1,26,53,1,m,1,1,26,8,723,1,1,2,8
1,27,53,1,m,1,1,27,2,112705,0,1,2,1
1,28,53,1,m,1,1,28,2,616,1,1,2,2
1,29,53,1,m,1,1,29,4,108615,0,1,2,9
1,30,53,1,m,1,1,30,9,386176,0,1,2,7
1,31,53,1,m,1,1,31,5,58744,0,1,2,6
1,32,53,1,m,1,1,32,6,795,1,1,2,6
1,33,53,1,m,1,1,33,4,232822,0,1,2,3
1,34,53,1,m,1,1,34,3,788,1,1,2,3
1,35,53,1,m,1,1,35,8,121827,0,1,2,1
1,36,53,1,m,1,1,36,4,862,1,1,2,4
1,37,53,1,m,1,1,37,9,312863,0,1,2,7
1,38,53,1,m,1,1,38,2,756,1,1,2,2
1,39,53,1,m,1,1,39,3,956,0,1,2,5
1,40,53,1,m,1,1,40,8,813,1,1,2,8
1,41,53,1,m,1,1,41,3,154376,0,1,2,7
1,42,53,1,m,1,1,42,1,287484,0,1,2,9
1,43,53,1,m,1,1,43,2,142083,0,1,2,3
1,44,53,1,m,1,1,44,5,205206,0,1,2,8
1,45,53,1,m,1,1,45,3,569,1,1,2,3
1,46,53,1,m,1,1,46,3,652,1,1,2,3
1,47,53,1,m,1,1,47,6,246204,0,1,2,5
1,48,53,1,m,1,1,48,1,154451,0,1,2,3
1,49,53,1,m,1,1,49,3,658,1,1,2,3
1,50,53,1,m,1,1,50,9,599,0,1,2,8
1,51,53,1,m,1,1,51,9,624,1,1,2,9
1,52,53,1,m,1,1,52,7,666,1,1,2,7
1,53,53,1,m,1,1,53,5,209953,0,1,2,6
1,54,53,21,m,1,2,54,9,636,0,1,2,7
1,55,53,21,m,1,2,55,2,386296,0,1,2,1
1,56,53,21,m,1,2,56,3,445,1,1,2,3
1,57,53,21,m,1,2,57,9,194749,0,1,2,1
1,58,53,21,m,1,2,58,6,129851,1,1,2,6
1,59,53,21,m,1,2,59,4,140441,1,1,2,4
