uidf,trial,age,usex,session,block,block_id,tid,response,rt,correct,target_color,target_sex,correctResponse
1,0,19,f,1,1,1,1,8,7478,0,b,m,2
1,1,19,f,1,1,1,2,3,1816,1,b,m,3
1,2,19,f,1,1,1,3,4,571,1,b,m,4
1,3,19,f,1,1,1,4,0,740,0,b,m,2
1,4,19,f,1,1,1,5,3,937,1,b,m,3
1,5,19,f,1,1,1,6,8,513,1,b,m,8
1,6,19,f,1,1,1,7,8,491,1,b,m,8
1,7,19,f,1,1,1,8,2,869,1,b,m,2
1,8,19,f,1,1,1,9,6,1465,1,b,m,6
1,9,19,f,1,1,1,10,4,1029,0,b,m,5
1,10,19,f,1,1,1,11,3,1177,1,b,m,3
1,11,19,f,1,1,1,12,2,1099,1,b,m,2
1,12,19,f,1,1,1,13,7,514,1,b,m,7
1,13,19,f,1,1,1,14,3,408,1,b,m,3
1,14,19,f,1,1,1,15,2,675,1,b,m,2
1,15,19,f,1,1,1,16,1,1102,0,b,m,3
1,16,19,f,1,1,1,17,0,259,1,b,m,0
1,17,19,f,1,1,1,18,6,391,0,b,m,3
1,18,19,f,1,1,1,19,0,159,1,b,m,0
1,19,19,f,1,1,1,20,0,748,1,b,m,0
1,20,19,f,1,1,1,21,8,317,1,b,m,8
1,21,19,f,1,1,1,22,8,496,0,b,m,0
1,22,19,f,1,1,1,23,4,467,1,b,m,4
1,23,19,f,1,1,1,24,5,952,1,b,m,5
1,24,19,f,1,1,1,25,3,662,0,b,m,8
1,25,19,f,1,1,1,26,4,314,1,b,m,4
1,26,19,f,1,1,1,27,3,345,1,b,m,3
1,27,19,f,1,1,1,28,6,359,1,b,m,6
1,28,19,f,1,1,1,29,2,1810,0,b,m,6
1,29,19,f,1,1,1,30,2,661,1,b,m,2
1,30,19,f,1,1,1,31,8,644,1,b,m,8
1,31,19,f,1,1,1,32,3,388,1,b,m,3
1,32,19,f,1,1,1,33,7,860,0,b,m,2
1,33,19,f,1,1,1,34,1,364,1,b,m,1
1,34,19,f,1,1,1,35,3,484,1,b,m,3
1,35,19,f,1,1,1,36,7,686,0,b,m,0
1,36,19,f,1,1,1,37,6,465,1,b,m,6
1,37,19,f,1,1,1,38,0,505,1,b,m,0
