uidf,trial,age,usex,session,block,tid,chosen,rt,correct,target_color,target_sex,stim_i,im_color,im_id,im_sex,im_type,correctResponse,is_target
1,0,19,f,1,1,1,8,7478,0,b,m,0,b,1080,f,fc,,0
1,0,19,f,1,1,1,8,7478,0,b,m,1,y,0169,m,fs,,0
1,0,19,f,1,1,1,8,7478,0,b,m,2,b,1012,m,t,2,1
1,0,19,f,1,1,1,8,7478,0,b,m,3,y,0504,m,fs,,0
1,0,19,f,1,1,1,8,7478,0,b,m,4,b,0965,f,fc,,0
1,0,19,f,1,1,1,8,7478,0,b,m,5,b,0963,f,fc,,0
1,0,19,f,1,1,1,8,7478,0,b,m,6,y,1022,m,fs,,0
1,0,19,f,1,1,1,8,7478,0,b,m,7,y,0761,m,fs,,0
1,0,19,f,1,1,1,8,7478,0,b,m,8,b,0306,f,fc,,0
1,1,19,f,1,1,2,3,1816,1,b,m,0,b,0208,f,fc,,0
1,1,19,f,1,1,2,3,1816,1,b,m,1,y,1041,m,fs,,0
1,1,19,f,1,1,2,3,1816,1,b,m,2,b,i282ta-fn.jpg,f,fc,,0
1,1,19,f,1,1,2,3,1816,1,b,m,3,b,0499,m,t,3,1
1,1,19,f,1,1,2,3,1816,1,b,m,4,b,0154,f,fc,,0
1,1,19,f,1,1,2,3,1816,1,b,m,5,y,0869,m,fs,,0
1,1,19,f,1,1,2,3,1816,1,b,m,6,y,i011qa-mn.jpg,m,fs,,0
1,1,19,f,1,1,2,3,1816,1,b,m,7,b,0447,f,fc,,0
1,1,19,f,1,1,2,3,1816,1,b,m,8,y,0685,m,fs,,0
1,2,19,f,1,1,3,4,571,1,b,m,0,b,0540,f,fc,,0
1,2,19,f,1,1,3,4,571,1,b,m,1,y,0690,m,fs,,0
1,2,19,f,1,1,3,4,571,1,b,m,2,y,0523,m,fs,,0
1,2,19,f,1,1,3,4,571,1,b,m,3,y,0666,m,fs,,0
1,2,19,f,1,1,3,4,571,1,b,m,4,b,1140,m,t,4,1
1,2,19,f,1,1,3,4,571,1,b,m,5,y,0825,m,fs,,0
1,2,19,f,1,1,3,4,571,1,b,m,6,b,i061ra-fn.jpg,f,fc,,0
1,2,19,f,1,1,3,4,571,1,b,m,7,b,0145,f,fc,,0
1,2,19,f,1,1,3,4,571,1,b,m,8,b,i284ta-fg.jpg,f,fc,,0
1,3,19,f,1,1,4,0,740,0,b,m,0,b,0308,f,fc,,0
