participant_id,age,gender,locale,localeOrder,trialN,set_size,targetPos,targetColor,rt,answer,correct,display_device_name,display_res_x,display_res_y,display_refresh_rate,response_device_name,display_distance,block_id,trial_id,trial_n,target_pos_x,target_pos_y,target_color_hsv
1,25,f,Response box,2,1,2,0,360,510,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,1,1,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,2,2,1,360,371,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,2,2,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,3,2,0,360,284,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,3,3,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,4,2,1,360,217,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,4,4,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,5,2,1,360,235,2,0,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,5,5,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,6,2,0,360,315,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,6,6,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,7,2,0,360,307,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,7,7,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,8,2,1,360,266,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,8,8,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,9,2,1,360,287,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,9,9,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,10,2,0,360,310,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,10,10,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,11,2,0,360,335,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,11,11,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,12,2,1,360,375,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,12,12,-4.5,0,"HSV 360,1,1"
