SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,1,1,1,1,111,3,20,0,45,45,1,10641.84,1
1,1,1,2,1,111,3,20,0,45,45,1,6068.72,1
1,1,1,3,1,111,3,20,0,45,45,1,5583.64,1
1,1,1,4,1,111,3,20,1,45,45,1,3812.56,1
1,1,1,5,1,111,3,20,1,45,45,1,3829.67,1
1,1,1,6,1,111,3,20,1,-45,-45,1,6195.28,1
1,1,2,1,1,55.5,1.5,20,0,-45,-45,1,12191.2,1
1,1,2,2,1,55.5,1.5,20,0,-45,-45,1,3686.84,1
1,1,2,3,1,55.5,1.5,20,0,45,45,1,6995.99,1
1,1,2,4,1,55.5,1.5,20,1,-45,-45,1,5451.87,1
1,1,2,5,1,55.5,1.5,20,1,-45,-45,1,7956.42,1
1,1,2,6,1,55.5,1.5,20,1,-45,-45,1,5156.62,1
1,1,3,1,1,74,2,10,0,-45,-45,1,3304.93,1
1,1,3,2,1,74,2,10,0,45,45,1,5584.33,1
1,1,3,3,1,74,2,10,0,-45,-45,1,2302.98,1
1,1,3,4,1,74,2,10,1,-45,-45,1,4876.88,1
1,1,3,5,1,74,2,10,1,-45,-45,1,2974.57,1
1,1,3,6,1,74,2,10,1,-45,-45,1,3861.12,1
1,1,4,1,1,55.5,1.5,10,0,-45,-45,1,2489.67,1
1,1,4,2,1,55.5,1.5,10,0,-45,-45,1,3931.29,1
1,1,4,3,1,55.5,1.5,10,0,45,45,1,2528.88,1
1,1,4,4,1,55.5,1.5,10,1,45,45,1,1547.4,1
1,1,4,5,1,55.5,1.5,10,1,45,45,1,1220.07,1
1,1,4,6,1,55.5,1.5,10,1,45,45,1,987.01,1
1,1,5,1,1,74,2,30,0,-45,-45,1,4489.11,1
1,1,5,2,1,74,2,30,0,-45,-45,1,8446.31,1
1,1,5,3,1,74,2,30,0,45,45,1,9008.58,1
1,1,5,4,1,74,2,30,1,-45,-45,1,3844.03,1
1,1,5,5,1,74,2,30,1,45,45,1,6209.16,1
1,1,5,6,1,74,2,30,1,-45,-45,1,3183.18,1
1,1,6,1,1,92.5,2.5,10,0,-45,-45,1,3367.01,1
1,1,6,2,1,92.5,2.5,10,0,45,45,0,16192.71,1
1,1,6,3,1,92.5,2.5,10,0,45,45,1,8068.51,1
1,1,6,4,1,92.5,2.5,10,1,-45,-45,1,3693.59,1
1,1,6,5,1,92.5,2.5,10,1,-45,-45,1,8667.34,1
1,1,6,6,1,92.5,2.5,10,1,-45,-45,1,2150.71,1
1,1,7,1,1,92.5,2.5,30,0,45,45,1,7597.5,1
1,1,7,2,1,92.5,2.5,30,0,-45,45,0,10343.96,1
1,1,7,3,1,92.5,2.5,30,0,45,45,1,2142.42,1
1,1,7,4,1,92.5,2.5,30,1,45,45,1,3665.16,1
1,1,7,5,1,92.5,2.5,30,1,45,45,1,7810.61,1
1,1,7,6,1,92.5,2.5,30,1,45,45,1,11635.24,1
1,1,8,1,1,74,2,20,0,45,45,1,4947.99,1
1,1,8,2,1,74,2,20,0,45,45,1,2487.21,1
