subNum	 trialNo	 easySide	 targPresent	 targSide	 RT	accuracy
1	1	 R	1	 left	3.903	1
1	2	 L	0	 x	4.675	1
1	3	 L	1	 right	3.338	1
1	4	 R	1	 left	2.128	1
1	5	 L	0	 x	4.205	1
1	6	 R	0	 x	4.532	1
1	7	 L	1	 left	1.87	1
1	8	 L	0	 x	3.498	1
1	9	 R	1	 right	1.889	1
1	10	 R	1	 right	1.759	1
1	11	 R	0	 x	3.617	1
1	12	 L	1	 left	1.689	1
1	13	 R	0	 x	3.027	1
1	14	 R	0	 x	3.587	1
1	15	 L	1	 left	1.72	1
1	16	 L	1	 left	1.586	1
1	17	 R	1	 left	3.356	0
1	18	 L	0	 x	3.505	1
1	19	 R	0	 x	3.466	1
1	20	 L	1	 right	2.119	1
1	21	 L	1	 left	2.458	1
1	22	 R	1	 right	1.651	1
1	23	 R	1	 right	1.978	1
1	24	 R	1	 right	1.769	1
1	25	 R	0	 x	2.833	1
1	26	 L	1	 right	2.577	1
1	27	 R	1	 left	1.928	1
1	28	 L	0	 x	3.546	1
1	29	 R	0	 x	3.358	1
1	30	 R	0	 x	2.871	1
1	31	 R	0	 x	3.028	1
1	32	 L	0	 x	2.698	1
1	33	 L	0	 x	3.417	1
1	34	 L	0	 x	4.364	1
1	35	 R	1	 right	1.779	1
1	36	 R	1	 right	1.809	1
1	37	 R	0	 x	4.394	1
1	38	 R	0	 x	3.437	1
1	39	 R	1	 left	4.266	0
1	40	 L	0	 x	4.475	1
1	41	 L	1	 left	1.759	1
1	42	 R	0	 x	4.146	1
1	43	 R	0	 x	4.804	1
1	44	 R	0	 x	4.062	1
1	45	 R	1	 left	3.19	1
1	46	 L	1	 right	3.167	1
1	47	 R	1	 right	1.799	1
1	48	 R	1	 right	2.198	1
1	49	 R	1	 left	5.27	0
1	50	 R	1	 left	2.96	1
1	51	 R	0	 x	6.191	1
1	52	 R	0	 x	7.669	1
1	53	 L	1	 left	1.78	1
1	54	 L	1	 right	2.038	1
1	55	 L	1	 right	1.779	1
1	56	 R	0	 x	5.053	1
1	57	 L	0	 x	4.934	1
1	58	 L	1	 right	3.197	1
1	59	 L	0	 x	5.584	1
1	60	 L	1	 left	1.77	1
1	61	 L	1	 right	1.989	1
1	62	 L	1	 left	2.299	1
1	63	 R	1	 left	3.986	0
1	64	 R	0	 x	5.143	1
1	65	 L	1	 right	4.106	0
1	66	 R	1	 left	2.599	1
1	67	 R	1	 right	1.709	1
1	68	 L	0	 x	3.936	1
1	69	 L	1	 left	1.95	1
1	70	 L	0	 x	4.215	1
1	71	 R	0	 x	5.179	1
1	72	 L	0	 x	3.616	1
1	73	 L	1	 right	2.588	1
1	74	 R	1	 left	4.652	1
1	75	 R	1	 left	2.508	1
1	76	 R	0	 x	4.654	1
1	77	 R	1	 right	1.775	1
1	78	 R	0	 x	4.231	1
1	79	 L	1	 right	1.7	1
1	80	 R	1	 left	2.588	1
1	81	 L	1	 left	2.07	1
1	82	 L	0	 x	5.354	1
1	83	 L	1	 right	2.06	1
1	84	 R	0	 x	3.706	1
1	85	 R	0	 x	3.447	1
1	86	 L	1	 right	1.629	1
1	87	 L	1	 left	1.647	1
1	88	 L	1	 left	1.689	1
1	89	 R	0	 x	4.245	1
1	90	 L	0	 x	2.865	1
1	91	 L	0	 x	2.698	1
1	92	 R	0	 x	3.727	1
1	93	 R	0	 x	3.637	1
1	94	 R	1	 left	1.807	1
1	95	 R	0	 x	4.416	1
1	96	 L	0	 x	4.596	1
1	97	 R	0	 x	5.166	1
1	98	 L	0	 x	3.784	1
1	99	 R	0	 x	3.447	1
1	100	 R	1	 right	1.759	1
1	101	 R	1	 right	1.639	1
1	102	 L	1	 left	1.59	1
1	103	 L	0	 x	4.565	1
1	104	 L	0	 x	2.989	1
1	105	 L	0	 x	4.484	1
1	106	 L	0	 x	4.386	1
1	107	 L	1	 left	1.7	1
1	108	 R	1	 left	2.248	1
1	109	 L	1	 left	1.577	1
1	110	 L	1	 right	4.427	0
1	111	 R	1	 left	4.824	1
1	112	 R	1	 right	2.388	1
1	113	 R	0	 x	3.456	1
1	114	 L	0	 x	3.298	1
1	115	 L	0	 x	3.647	1
1	116	 L	0	 x	3.347	1
1	117	 R	0	 x	4.254	1
1	118	 R	0	 x	2.927	1
1	119	 R	0	 x	5.413	1
1	120	 L	1	 right	2.318	1
1	121	 R	1	 right	2.068	1
1	122	 L	0	 x	3.946	1
1	123	 R	1	 left	3.676	1
1	124	 R	0	 x	3.736	1
1	125	 L	1	 left	1.937	1
1	126	 R	0	 x	4.027	1
1	127	 L	0	 x	3.705	1
1	128	 L	1	 right	2.587	1
1	129	 L	0	 x	4.475	1
1	130	 L	1	 right	1.86	1
1	131	 L	1	 right	3.777	0
1	132	 R	1	 right	1.968	1
1	133	 L	0	 x	5.313	1
1	134	 L	1	 left	1.729	1
1	135	 L	1	 left	1.7	1
1	136	 R	0	 x	5.017	1
1	137	 R	1	 left	3.967	0
1	138	 R	0	 x	4.769	1
1	139	 R	0	 x	5.034	1
1	140	 R	1	 right	2.318	1
1	141	 L	0	 x	6.252	1
1	142	 R	1	 left	2.109	1
1	143	 L	0	 x	4.596	1
