subNum	 trialNo	 easySide	 targPresent	 targSide	 RT	 accuracy	 var	 con
1	 1	 x	 0	 x	 6.881	 1	 6	 full
1	 2	 x	 1	 right	 5.339	 1	 1.7	 full
1	 3	 x	 0	 x	 5.698	 1	 1.7	 full
1	 4	 x	 1	 left	 4.808	 1	 1.7	 full
1	 5	 x	 1	 right	 1.799	 1	 6	 full
1	 6	 x	 1	 right	 1.923	 1	 1.7	 full
1	 7	 x	 0	 x	 3.204	 1	 6	 full
1	 8	 L	 1	 left	 1.573	 1	 x	 half
1	 9	 x	 0	 x	 3.241	 1	 6	 full
1	 10	 x	 1	 right	 1.568	 1	 6	 full
1	 11	 x	 1	 right	 1.742	 1	 1.7	 full
1	 12	 x	 0	 x	 1.802	 1	 6	 full
1	 13	 x	 1	 right	 2.303	 1	 1.7	 full
1	 14	 x	 1	 left	 1.502	 1	 6	 full
1	 15	 L	 0	 x	 7.126	 1	 x	 half
1	 16	 L	 1	 right	 1.722	 1	 x	 half
1	 17	 L	 1	 left	 1.513	 1	 x	 half
1	 18	 x	 0	 x	 3.118	 1	 6	 full
1	 19	 L	 1	 left	 1.541	 1	 x	 half
1	 20	 R	 0	 x	 3.989	 1	 x	 half
1	 21	 L	 1	 left	 1.511	 1	 x	 half
1	 22	 x	 1	 right	 1.733	 1	 6	 full
1	 23	 x	 0	 x	 2.982	 1	 1.7	 full
1	 24	 x	 0	 x	 3.502	 1	 1.7	 full
1	 25	 x	 0	 x	 4.209	 1	 1.7	 full
1	 26	 x	 1	 right	 2.321	 1	 1.7	 full
1	 27	 x	 0	 x	 3.391	 1	 1.7	 full
1	 28	 L	 0	 x	 4.694	 1	 x	 half
1	 29	 x	 0	 x	 2.292	 1	 6	 full
1	 30	 x	 1	 right	 2.991	 1	 1.7	 full
1	 31	 L	 1	 right	 2.132	 1	 x	 half
1	 32	 R	 1	 right	 1.582	 1	 x	 half
1	 33	 x	 1	 right	 1.603	 1	 6	 full
1	 34	 R	 1	 left	 3.657	 1	 x	 half
1	 35	 x	 1	 right	 1.743	 1	 6	 full
1	 36	 x	 1	 right	 1.515	 1	 6	 full
1	 37	 x	 1	 right	 1.482	 1	 6	 full
1	 38	 x	 0	 x	 4.045	 1	 1.7	 full
1	 39	 x	 0	 x	 4.220	 1	 1.7	 full
1	 40	 R	 0	 x	 4.700	 1	 x	 half
1	 41	 R	 0	 x	 3.520	 1	 x	 half
1	 42	 L	 0	 x	 6.057	 1	 x	 half
1	 43	 x	 1	 left	 1.561	 1	 6	 full
1	 44	 x	 0	 x	 2.741	 1	 1.7	 full
1	 45	 R	 0	 x	 5.768	 1	 x	 half
1	 46	 L	 1	 left	 1.841	 1	 x	 half
1	 47	 x	 0	 x	 2.623	 1	 6	 full
1	 48	 x	 1	 left	 1.982	 1	 1.7	 full
1	 49	 x	 1	 left	 1.613	 1	 6	 full
1	 50	 x	 1	 right	 1.872	 1	 6	 full
