subNum,trialNo,easySide,targPresent,targSide,RT,accuracy,block_no
1,1,R,1,left,3903,1,1
1,2,L,0,,4675,1,1
1,3,L,1,right,3338,1,1
1,4,R,1,left,2128,1,1
1,5,L,0,,4205,1,1
1,6,R,0,,4532,1,1
1,7,L,1,left,1870,1,1
1,8,L,0,,3498,1,1
1,9,R,1,right,1889,1,1
1,10,R,1,right,1759,1,1
1,11,R,0,,3617,1,1
1,12,L,1,left,1689,1,1
1,13,R,0,,3027,1,1
1,14,R,0,,3587,1,1
1,15,L,1,left,1720,1,1
1,16,L,1,left,1586,1,1
1,17,R,1,left,3356,0,1
1,18,L,0,,3505,1,1
1,19,R,0,,3466,1,1
1,20,L,1,right,2119,1,1
1,21,L,1,left,2458,1,1
1,22,R,1,right,1651,1,1
1,23,R,1,right,1978,1,1
1,24,R,1,right,1769,1,1
1,25,R,0,,2833,1,1
1,26,L,1,right,2577,1,1
1,27,R,1,left,1928,1,1
1,28,L,0,,3546,1,1
1,29,R,0,,3358,1,1
1,30,R,0,,2871,1,1
1,31,R,0,,3028,1,1
1,32,L,0,,2698,1,1
1,33,L,0,,3417,1,1
1,34,L,0,,4364,1,1
1,35,R,1,right,1779,1,1
1,36,R,1,right,1809,1,1
1,37,R,0,,4394,1,1
1,38,R,0,,3437,1,1
1,39,R,1,left,4266,0,1
1,40,L,0,,4475,1,1
1,41,L,1,left,1759,1,1
1,42,R,0,,4146,1,1
1,43,R,0,,4804,1,1
1,44,R,0,,4062,1,1
1,45,R,1,left,3190,1,1
1,46,L,1,right,3167,1,1
1,47,R,1,right,1799,1,1
1,48,R,1,right,2198,1,1
1,49,R,1,left,5270,0,1
1,50,R,1,left,2960,1,1
1,51,R,0,,6191,1,1
1,52,R,0,,7669,1,1
1,53,L,1,left,1780,1,1
1,54,L,1,right,2038,1,1
1,55,L,1,right,1779,1,1
1,56,R,0,,5053,1,1
1,57,L,0,,4934,1,1
1,58,L,1,right,3197,1,1
1,59,L,0,,5584,1,1
1,60,L,1,left,1770,1,1
1,61,L,1,right,1989,1,1
1,62,L,1,left,2299,1,1
1,63,R,1,left,3986,0,1
1,64,R,0,,5143,1,1
1,65,L,1,right,4106,0,1
1,66,R,1,left,2599,1,1
1,67,R,1,right,1709,1,1
1,68,L,0,,3936,1,1
1,69,L,1,left,1950,1,1
1,70,L,0,,4215,1,1
1,71,R,0,,5179,1,1
1,72,L,0,,3616,1,1
1,73,L,1,right,2588,1,1
1,74,R,1,left,4652,1,1
1,75,R,1,left,2508,1,1
1,76,R,0,,4654,1,1
1,77,R,1,right,1775,1,1
1,78,R,0,,4231,1,1
1,79,L,1,right,1700,1,1
1,80,R,1,left,2588,1,1
1,81,L,1,left,2070,1,1
1,82,L,0,,5354,1,1
1,83,L,1,right,2060,1,1
1,84,R,0,,3706,1,1
1,85,R,0,,3447,1,1
1,86,L,1,right,1629,1,1
1,87,L,1,left,1647,1,1
1,88,L,1,left,1689,1,1
1,89,R,0,,4245,1,1
1,90,L,0,,2865,1,1
1,91,L,0,,2698,1,1
1,92,R,0,,3727,1,1
1,93,R,0,,3637,1,1
1,94,R,1,left,1807,1,1
1,95,R,0,,4416,1,1
1,96,L,0,,4596,1,1
1,97,R,0,,5166,1,1
1,98,L,0,,3784,1,1
1,99,R,0,,3447,1,1
1,100,R,1,right,1759,1,1
1,101,R,1,right,1639,1,1
1,102,L,1,left,1590,1,1
1,103,L,0,,4565,1,1
1,104,L,0,,2989,1,1
1,105,L,0,,4484,1,1
1,106,L,0,,4386,1,1
1,107,L,1,left,1700,1,1
1,108,R,1,left,2248,1,1
1,109,L,1,left,1577,1,1
1,110,L,1,right,4427,0,1
1,111,R,1,left,4824,1,1
1,112,R,1,right,2388,1,1
1,113,R,0,,3456,1,1
1,114,L,0,,3298,1,1
1,115,L,0,,3647,1,1
1,116,L,0,,3347,1,1
1,117,R,0,,4254,1,1
1,118,R,0,,2927,1,1
1,119,R,0,,5413,1,1
1,120,L,1,right,2318,1,1
1,121,R,1,right,2068,1,1
1,122,L,0,,3946,1,1
1,123,R,1,left,3676,1,1
1,124,R,0,,3736,1,1
1,125,L,1,left,1937,1,1
1,126,R,0,,4027,1,1
1,127,L,0,,3705,1,1
1,128,L,1,right,2587,1,1
1,129,L,0,,4475,1,1
1,130,L,1,right,1860,1,1
1,131,L,1,right,3777,0,1
1,132,R,1,right,1968,1,1
1,133,L,0,,5313,1,1
1,134,L,1,left,1729,1,1
1,135,L,1,left,1700,1,1
1,136,R,0,,5017,1,1
1,137,R,1,left,3967,0,1
1,138,R,0,,4769,1,1
1,139,R,0,,5034,1,1
1,140,R,1,right,2318,1,1
1,141,L,0,,6252,1,1
1,142,R,1,left,2109,1,1
1,143,L,0,,4596,1,1
1,144,L,1,left,1644,1,1
1,145,L,0,,4585,1,1
1,146,R,1,right,1696,1,1
1,147,L,0,,3286,1,1
1,148,R,1,left,2038,1,1
1,149,L,1,right,3147,1,1
1,150,L,0,,5280,1,1
1,151,R,0,,4495,1,1
1,152,L,1,right,3567,1,1
1,153,L,1,right,2108,1,1
1,154,R,0,,4665,1,1
1,155,R,0,,3956,1,1
1,156,R,0,,4555,1,1
1,157,L,0,,5174,1,1
1,158,R,0,,6151,1,1
1,159,L,0,,4456,1,1
1,160,R,1,right,1689,1,1
4,1,R,0,,4735,1,1
4,2,R,1,right,2104,1,1
4,3,L,0,,3504,1,1
4,4,L,1,left,1634,1,1
4,5,L,1,left,1624,1,1
4,6,L,0,,3904,1,1
4,7,R,0,,3513,1,1
4,8,R,1,left,3844,0,1
4,9,R,0,,5060,1,1
4,10,R,0,,4394,1,1
4,11,L,1,right,6364,0,1
4,12,L,1,right,3565,1,1
4,13,R,1,right,1633,1,1
4,14,L,0,,6994,1,1
4,15,L,0,,5364,1,1
4,16,R,0,,6604,1,1
4,17,R,0,,5605,1,1
4,18,R,1,right,1654,1,1
4,19,R,1,left,4424,1,1
4,20,L,1,left,1565,1,1
4,21,R,1,right,2524,1,1
4,22,L,1,right,3314,1,1
4,23,L,0,,6065,1,1
4,24,L,1,right,2754,1,1
4,25,L,0,,6043,1,1
4,26,R,1,left,5104,0,1
4,27,R,1,right,1714,1,1
4,28,L,0,,7124,0,1
4,29,R,0,,7645,1,1
4,30,L,1,left,1674,1,1
4,31,R,1,right,1578,1,1
4,32,R,0,,7315,1,1
4,33,R,0,,5545,1,1
4,34,R,0,,3876,1,1
4,35,L,1,right,2634,1,1
4,36,L,1,right,2153,1,1
4,37,R,0,,6234,1,1
4,38,R,1,left,7494,0,1
4,39,R,1,left,6724,1,1
4,40,L,0,,5766,1,1
4,41,R,1,left,9477,0,1
4,42,R,0,,8906,1,1
4,43,R,1,left,5750,1,1
4,44,L,0,,9065,1,1
4,45,L,1,left,1625,1,1
4,46,L,1,right,4828,1,1
4,47,R,1,left,9187,0,1
4,48,L,0,,8866,1,1
4,49,L,0,,7504,1,1
4,50,L,0,,7418,1,1
4,51,L,0,,6907,1,1
4,52,R,0,,6074,1,1
4,53,R,0,,7155,1,1
4,54,R,1,left,6166,0,1
4,55,R,0,,6945,1,1
4,56,L,1,right,2870,1,1
4,57,L,0,,8000,1,1
4,58,R,1,right,1794,1,1
4,59,R,0,,7562,1,1
4,60,R,0,,5285,1,1
4,61,R,0,,7285,1,1
4,62,L,0,,5744,1,1
4,63,R,1,right,1663,1,1
4,64,R,1,left,6528,1,1
4,65,R,0,,6155,1,1
4,66,L,1,left,1754,1,1
4,67,L,0,,5800,1,1
4,68,L,1,right,6065,1,1
4,69,L,0,,6335,1,1
4,70,L,1,right,2074,1,1
4,71,L,1,left,1664,1,1
4,72,R,1,left,4165,1,1
4,73,L,1,right,1652,1,1
4,74,L,0,,7195,1,1
4,75,L,1,right,1524,1,1
4,76,R,1,left,3917,1,1
4,77,R,1,left,2414,1,1
4,78,R,0,,6765,1,1
4,79,R,0,,5535,1,1
4,80,L,1,left,1644,1,1
4,81,L,1,left,1534,1,1
4,82,L,0,,5645,1,1
4,83,R,0,,3854,1,1
4,84,R,0,,5074,1,1
4,85,L,1,left,1555,1,1
4,86,R,0,,6174,1,1
4,87,R,1,left,3655,1,1
4,88,R,0,,4385,1,1
4,89,R,0,,6625,1,1
4,90,R,0,,5295,1,1
4,91,R,1,right,1504,1,1
4,92,L,1,right,1800,1,1
4,93,R,1,left,3183,1,1
4,94,L,0,,4607,1,1
4,95,R,0,,3764,1,1
4,96,L,1,left,1594,1,1
4,97,L,1,right,1775,1,1
4,98,L,0,,5787,1,1
4,99,R,0,,4445,1,1
4,100,R,1,right,1683,1,1
4,101,R,0,,4515,1,1
4,102,L,1,right,1709,1,1
4,103,L,0,,2704,1,1
4,104,R,0,,4786,1,1
4,105,L,1,left,1547,1,1
4,106,L,0,,3965,1,1
4,107,L,0,,4745,1,1
4,108,R,0,,6366,1,1
4,109,L,1,left,1684,1,1
4,110,L,1,right,5481,0,1
4,111,R,1,left,4645,1,1
4,112,R,1,right,1516,1,1
4,113,L,1,right,1717,1,1
4,114,L,1,left,1644,1,1
4,115,R,1,right,1475,1,1
4,116,R,1,left,2014,1,1
4,117,L,0,,5777,1,1
4,118,L,0,,6065,1,1
4,119,L,1,right,4807,1,1
4,120,L,0,,5625,1,1
4,121,R,1,right,1510,1,1
4,122,L,1,right,2825,1,1
4,123,R,0,,4354,1,1
4,124,R,1,right,1589,1,1
4,125,L,0,,4264,1,1
4,126,L,0,,4164,1,1
4,127,R,0,,4244,1,1
4,128,L,1,right,1954,1,1
4,129,L,0,,4275,1,1
4,130,R,0,,3934,1,1
4,131,L,1,left,1733,1,1
4,132,L,0,,4415,1,1
4,133,R,0,,4924,1,1
4,134,L,1,left,1623,1,1
4,135,L,1,left,1634,1,1
4,136,L,1,left,1504,1,1
4,137,R,1,right,1575,1,1
4,138,R,0,,3615,1,1
4,139,R,0,,4927,1,1
4,140,L,1,left,1530,1,1
4,141,L,0,,3922,1,1
4,142,R,1,right,1464,1,1
4,143,R,1,left,1975,1,1
4,144,R,1,left,5114,1,1
4,145,R,0,,6395,1,1
4,146,L,0,,4854,1,1
4,147,R,1,right,1772,1,1
4,148,L,0,,5258,1,1
4,149,L,0,,5165,1,1
4,150,R,1,right,1534,1,1
4,151,R,0,,6105,1,1
4,152,R,0,,6023,1,1
4,153,R,1,right,1496,1,1
4,154,R,0,,4974,1,1
4,155,L,1,right,1854,1,1
4,156,L,0,,4254,1,1
4,157,L,1,left,1613,1,1
4,158,R,0,,5305,1,1
4,159,R,1,left,1863,1,1
5,1,R,1,right,2395,1,1
5,2,L,0,,3925,1,1
5,3,L,1,left,1874,1,1
5,4,L,0,,3885,1,1
5,5,R,1,left,4714,0,1
5,6,L,0,,4825,1,1
5,7,R,0,,4665,1,1
5,8,L,1,left,1875,1,1
5,9,R,0,,3535,1,1
5,10,L,0,,4354,1,1
5,11,L,1,left,1715,1,1
5,12,R,1,right,1844,1,1
5,13,R,0,,4864,1,1
5,14,R,0,,4204,1,1
5,15,L,0,,5135,1,1
5,16,R,1,left,3644,1,1
5,17,R,0,,5494,1,1
5,18,L,1,left,1788,1,1
5,19,R,1,right,1624,1,1
5,20,R,1,left,2305,1,1
5,21,L,0,,5403,1,1
5,22,R,1,right,1703,1,1
5,23,R,0,,4814,1,1
5,24,R,0,,3595,1,1
5,25,R,0,,4545,1,1
5,26,R,1,left,2765,1,1
5,27,R,0,,5144,1,1
5,28,R,0,,3402,1,1
5,29,R,1,left,5495,0,1
5,30,R,1,right,1714,1,1
5,31,L,1,right,2025,1,1
5,32,R,1,left,5445,0,1
5,33,R,1,left,6104,1,1
5,34,L,0,,5755,1,1
5,35,L,1,right,5784,0,1
5,36,R,1,right,1925,1,1
5,37,R,1,left,2404,1,1
5,38,L,1,right,1725,1,1
5,39,R,1,left,5925,0,1
5,40,R,1,left,7365,0,1
5,41,L,0,,7245,1,1
5,42,L,1,right,2658,1,1
5,43,L,1,right,7355,0,1
5,44,L,0,,8366,1,1
5,45,R,1,left,6075,0,1
5,46,R,0,,9074,1,1
5,47,R,1,right,1782,1,1
5,48,L,0,,5593,1,1
5,49,L,1,right,25,0,1
5,50,L,1,left,2005,1,1
5,51,L,1,right,1914,1,1
5,52,L,0,,4885,1,1
5,53,L,1,left,1665,1,1
5,54,R,0,,5275,1,1
5,55,L,1,left,1724,1,1
5,56,L,0,,7005,1,1
5,57,L,0,,5875,1,1
5,58,R,0,,4304,1,1
5,59,R,1,right,1631,1,1
5,60,L,1,right,5082,0,1
5,61,L,1,left,1594,1,1
5,62,L,1,right,2605,1,1
5,63,L,0,,6845,1,1
5,64,R,1,right,2101,1,1
5,65,L,1,right,6667,0,1
5,66,R,1,left,2105,1,1
5,67,L,0,,3494,1,1
5,68,R,0,,3295,1,1
5,69,L,1,left,1654,1,1
5,70,L,0,,4369,1,1
5,71,R,0,,2534,0,1
5,72,R,0,,4994,1,1
5,73,R,0,,5204,1,1
5,74,R,1,left,4109,0,1
5,75,L,1,left,1764,1,1
5,76,R,1,right,1644,1,1
5,77,L,1,right,2055,1,1
5,78,R,0,,4344,1,1
5,79,L,1,right,2675,0,1
5,80,L,0,,2244,0,1
