subNum,trialNo,easySide,targPresent,targSide,RT,accuracy,distractor_range,con,distractor_min,distractor_max,block_no
1,1,,0,,6881,1,30,full,-60,-30,1
1,2,,1,right,5339,1,106,full,-98,8,1
1,3,,0,,5698,1,106,full,-98,8,1
1,4,,1,left,4808,1,106,full,-98,8,1
1,5,,1,right,1799,1,30,full,-60,-30,1
1,6,,1,right,1923,1,106,full,-98,8,1
1,7,,0,,3204,1,30,full,-60,-30,1
1,8,L,1,left,1573,1,,half,,,1
1,9,,0,,3241,1,30,full,-60,-30,1
1,10,,1,right,1568,1,30,full,-60,-30,1
1,11,,1,right,1742,1,106,full,-98,8,1
1,12,,0,,1802,1,30,full,-60,-30,1
1,13,,1,right,2303,1,106,full,-98,8,1
1,14,,1,left,1502,1,30,full,-60,-30,1
1,15,L,0,,7126,1,,half,,,1
1,16,L,1,right,1722,1,,half,,,1
1,17,L,1,left,1513,1,,half,,,1
1,18,,0,,3118,1,30,full,-60,-30,1
1,19,L,1,left,1541,1,,half,,,1
1,20,R,0,,3989,1,,half,,,1
1,21,L,1,left,1511,1,,half,,,1
1,22,,1,right,1733,1,30,full,-60,-30,1
1,23,,0,,2982,1,106,full,-98,8,1
1,24,,0,,3502,1,106,full,-98,8,1
1,25,,0,,4209,1,106,full,-98,8,1
1,26,,1,right,2321,1,106,full,-98,8,1
1,27,,0,,3391,1,106,full,-98,8,1
1,28,L,0,,4694,1,,half,,,1
1,29,,0,,2292,1,30,full,-60,-30,1
1,30,,1,right,2991,1,106,full,-98,8,1
1,31,L,1,right,2132,1,,half,,,1
1,32,R,1,right,1582,1,,half,,,1
1,33,,1,right,1603,1,30,full,-60,-30,1
1,34,R,1,left,3657,1,,half,,,1
1,35,,1,right,1743,1,30,full,-60,-30,1
1,36,,1,right,1515,1,30,full,-60,-30,1
1,37,,1,right,1482,1,30,full,-60,-30,1
1,38,,0,,4045,1,106,full,-98,8,1
1,39,,0,,4220,1,106,full,-98,8,1
1,40,R,0,,4700,1,,half,,,1
1,41,R,0,,3520,1,,half,,,1
1,42,L,0,,6057,1,,half,,,1
1,43,,1,left,1561,1,30,full,-60,-30,1
1,44,,0,,2741,1,106,full,-98,8,1
1,45,R,0,,5768,1,,half,,,1
1,46,L,1,left,1841,1,,half,,,1
1,47,,0,,2623,1,30,full,-60,-30,1
1,48,,1,left,1982,1,106,full,-98,8,1
1,49,,1,left,1613,1,30,full,-60,-30,1
1,50,,1,right,1872,1,30,full,-60,-30,1
1,51,,1,left,2232,1,106,full,-98,8,1
1,52,,0,,5288,1,106,full,-98,8,1
1,53,,0,,3810,1,106,full,-98,8,1
1,54,L,1,left,1702,1,,half,,,1
1,55,,1,right,2132,1,106,full,-98,8,1
1,56,,1,right,1523,1,30,full,-60,-30,1
1,57,,1,left,2165,1,106,full,-98,8,1
1,58,R,1,left,1632,1,,half,,,1
1,59,,1,right,1493,1,30,full,-60,-30,1
1,60,L,1,right,2771,1,,half,,,1
1,61,,1,left,1759,1,106,full,-98,8,1
1,62,,0,,3721,1,106,full,-98,8,1
1,63,R,1,left,1538,1,,half,,,1
1,64,R,1,right,1551,1,,half,,,1
1,65,,1,right,2012,0,30,full,-60,-30,1
1,66,,0,,2871,1,30,full,-60,-30,1
1,67,R,1,left,1742,1,,half,,,1
1,68,,0,,2362,1,30,full,-60,-30,1
1,69,R,0,,4111,1,,half,,,1
1,70,R,1,right,1661,1,,half,,,1
1,71,,0,,3761,1,106,full,-98,8,1
1,72,,1,right,2501,1,106,full,-98,8,1
