subNum,trialNo,distractor_range,targPresent,response,accuracy,RT,distractor_min,distractor_max,block_no
11,1,106,0,r,1,,-98,8,1
11,2,106,1,l,1,,-98,8,1
11,3,30,0,r,1,,-60,-30,1
11,4,30,0,r,1,,-60,-30,1
11,5,30,0,r,1,,-60,-30,1
11,6,106,0,r,1,,-98,8,1
11,7,106,1,l,1,,-98,8,1
11,8,106,1,l,1,,-98,8,1
11,9,30,1,l,1,,-60,-30,1
11,10,106,1,r,0,,-98,8,1
11,11,106,1,l,1,,-98,8,1
11,12,106,0,r,1,,-98,8,1
11,13,106,0,l,0,,-98,8,1
11,14,106,1,l,1,,-98,8,1
11,15,106,1,l,1,,-98,8,1
11,16,30,1,l,1,,-60,-30,1
11,17,106,1,l,1,,-98,8,1
11,18,30,1,l,1,,-60,-30,1
11,19,106,0,l,0,,-98,8,1
11,20,106,1,r,0,,-98,8,1
11,21,106,1,l,1,,-98,8,1
11,22,106,1,l,1,,-98,8,1
11,23,30,1,l,1,,-60,-30,1
11,24,30,1,l,1,,-60,-30,1
11,25,106,1,l,1,,-98,8,1
11,26,30,0,r,1,,-60,-30,1
11,27,30,0,r,1,,-60,-30,1
11,28,30,1,l,1,,-60,-30,1
11,29,30,0,r,1,,-60,-30,1
11,30,106,0,l,0,,-98,8,1
11,31,30,0,r,1,,-60,-30,1
11,32,106,0,l,0,,-98,8,1
11,33,30,0,r,1,,-60,-30,1
11,34,30,1,l,1,,-60,-30,1
11,35,30,0,r,1,,-60,-30,1
11,36,30,1,l,1,,-60,-30,1
11,37,106,0,l,0,,-98,8,1
11,38,30,1,l,1,,-60,-30,1
11,39,30,1,l,1,,-60,-30,1
11,40,30,1,l,1,,-60,-30,1
11,41,30,0,r,1,,-60,-30,1
11,42,30,0,r,1,,-60,-30,1
11,43,106,0,l,0,,-98,8,1
11,44,30,0,r,1,,-60,-30,1
11,45,30,0,r,1,,-60,-30,1
11,46,30,1,l,1,,-60,-30,1
11,47,30,1,l,1,,-60,-30,1
11,48,106,0,l,0,,-98,8,1
11,49,106,1,l,1,,-98,8,1
11,50,106,0,r,1,,-98,8,1
11,51,106,0,l,0,,-98,8,1
11,52,106,1,l,1,,-98,8,1
11,53,30,1,l,1,,-60,-30,1
11,54,106,1,r,0,,-98,8,1
11,55,30,0,r,1,,-60,-30,1
11,56,106,1,l,1,,-98,8,1
11,57,106,0,r,1,,-98,8,1
11,58,30,1,l,1,,-60,-30,1
11,59,30,0,l,0,,-60,-30,1
11,60,106,0,l,0,,-98,8,1
11,61,30,1,l,1,,-60,-30,1
11,62,106,0,l,0,,-98,8,1
11,63,106,0,r,1,,-98,8,1
11,64,106,1,l,1,,-98,8,1
11,65,30,0,l,0,,-60,-30,1
11,66,30,0,r,1,,-60,-30,1
11,67,30,0,l,0,,-60,-30,1
11,68,106,1,l,1,,-98,8,1
11,69,106,0,r,1,,-98,8,1
11,70,106,0,l,0,,-98,8,1
11,71,106,1,r,0,,-98,8,1
11,72,106,1,l,1,,-98,8,1
11,73,30,1,l,1,,-60,-30,1
11,74,106,0,r,1,,-98,8,1
11,75,30,0,r,1,,-60,-30,1
11,76,30,1,l,1,,-60,-30,1
11,77,30,0,r,1,,-60,-30,1
11,78,30,1,l,1,,-60,-30,1
11,79,30,1,l,1,,-60,-30,1
11,80,106,0,r,1,,-98,8,1
12,1,30,1,l,1,,-60,-30,1
12,2,30,1,l,1,,-60,-30,1
12,3,30,1,l,1,,-60,-30,1
12,4,106,1,r,0,,-98,8,1
12,5,106,1,l,1,,-98,8,1
12,6,106,0,l,0,,-98,8,1
12,7,30,0,r,1,,-60,-30,1
12,8,106,0,r,1,,-98,8,1
12,9,30,1,l,1,,-60,-30,1
12,10,30,0,r,1,,-60,-30,1
