manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;567;200;1;1;4.863653024;False;L;2;a;1;2457;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;436;200;1;2;0.808050006;True;L;2;z;1;2015;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;471;200;1;3;2.388601574;False;L;8;a;1;2298;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;433;200;1;4;3.878255691;False;L;4;z;0;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;514;200;1;5;5.215360266;True;L;8;a;0;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;452;200;1;6;5.097141253;True;L;12;z;1;2014;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;435;200;1;7;3.55623356;True;L;4;a;0;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1334;pTSer;500;683;200;1;8;6.193518726;False;L;2;a;1;2025;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;564;200;1;9;0.948491963;False;L;4;z;0;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;455;200;1;10;5.939433129;False;L;12;z;0;16444;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;455;200;1;11;2.06634235;False;L;12;z;0;15102;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;619;200;1;12;5.218969212;True;L;12;a;0;2041;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;698;200;1;13;0.520599399;False;L;8;a;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;599;200;1;14;3.182945315;True;L;2;z;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;623;200;1;15;2.569733376;True;L;4;z;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;488;200;1;16;5.473886362;True;L;8;z;1;2015;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;418;200;1;1;0.499428887;False;L;2;a;1;2015;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1335;pTSer;500;493;200;1;2;3.238291159;True;L;2;z;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;553;200;1;3;0.144209705;False;L;8;a;1;2015;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;573;200;1;4;0.214613215;False;L;4;a;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;563;200;1;5;1.457475735;True;L;8;z;1;2012;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;442;200;1;6;0.781927047;True;L;12;z;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;434;200;1;7;3.041644023;True;L;4;z;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;511;200;1;8;5.640675952;False;L;2;a;1;2016;None;None;None;None;None;None
vs12;benlakhal;1;0;13Dec2010;1336;pTSer;500;472;200;1;9;6.062604063;False;L;4;a;1;2015;None;None;None;None;None;None
