manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 567 200 1 1 4.86365302378 False L 2 a 1 2457 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 436 200 1 2 0.808050005676 True L 2 z 1 2015 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 471 200 1 3 2.38860157385 False L 8 a 1 2298 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 433 200 1 4 3.87825569093 False L 4 z 0 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 514 200 1 5 5.21536026626 True L 8 a 0 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 452 200 1 6 5.09714125324 True L 12 z 1 2014 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 435 200 1 7 3.55623355969 True L 4 a 0 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1334 pTSer 500 683 200 1 8 6.19351872581 False L 2 a 1 2025 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 564 200 1 9 0.948491963261 False L 4 z 0 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 455 200 1 10 5.93943312887 False L 12 z 0 16444 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 455 200 1 11 2.06634235005 False L 12 z 0 15102 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 619 200 1 12 5.21896921197 True L 12 a 0 2041 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 698 200 1 13 0.520599399383 False L 8 a 1 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 599 200 1 14 3.18294531536 True L 2 z 1 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 623 200 1 15 2.56973337639 True L 4 z 1 2016 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 488 200 1 16 5.47388636223 True L 8 z 1 2015 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 418 200 1 1 0.499428886997 False L 2 a 1 2015 None None None None None None
vs12 benlakhal 1 0 13Dec2010 1335 pTSer 500 493 200 1 2 3.23829115934 True L 2 z 1 2016 None None None None None None
