manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,training,task,trialId
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,567,200,1,1,4.86365302378,0,L,2,a,1,2457,,,,,,,1,L among T,1
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,436,200,1,2,0.808050005676,1,L,2,z,1,2015,,,,,,,1,L among T,2
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,471,200,1,3,2.38860157385,0,L,8,a,1,2298,,,,,,,1,L among T,3
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,433,200,1,4,3.87825569093,0,L,4,z,0,2016,,,,,,,1,L among T,4
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,514,200,1,5,5.21536026626,1,L,8,a,0,2016,,,,,,,1,L among T,5
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,452,200,1,6,5.09714125324,1,L,12,z,1,2014,,,,,,,1,L among T,6
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,435,200,1,7,3.55623355969,1,L,4,a,0,2016,,,,,,,1,L among T,7
vs12,benlakhal,1,0,13Dec2010,1334,pTSer,500,683,200,1,8,6.19351872581,0,L,2,a,1,2025,,,,,,,1,L among T,8
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,564,200,1,9,0.948491963261,0,L,4,z,0,2016,,,,,,,1,L among T,9
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,455,200,1,10,5.93943312887,0,L,12,z,0,16444,,,,,,,1,L among T,10
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,455,200,1,11,2.06634235005,0,L,12,z,0,15102,,,,,,,1,L among T,11
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,619,200,1,12,5.21896921197,1,L,12,a,0,2041,,,,,,,1,L among T,12
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,698,200,1,13,0.520599399383,0,L,8,a,1,2016,,,,,,,1,L among T,13
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,599,200,1,14,3.18294531536,1,L,2,z,1,2016,,,,,,,1,L among T,14
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,623,200,1,15,2.56973337639,1,L,4,z,1,2016,,,,,,,1,L among T,15
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,488,200,1,16,5.47388636223,1,L,8,z,1,2015,,,,,,,1,L among T,16
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,418,200,1,1,0.499428886997,0,L,2,a,1,2015,,,,,,,1,L among T,17
vs12,benlakhal,1,0,13Dec2010,1335,pTSer,500,493,200,1,2,3.23829115934,1,L,2,z,1,2016,,,,,,,1,L among T,18
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,553,200,1,3,0.144209704521,0,L,8,a,1,2015,,,,,,,1,L among T,19
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,573,200,1,4,0.214613215147,0,L,4,a,1,2016,,,,,,,1,L among T,20
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,563,200,1,5,1.45747573534,1,L,8,z,1,2012,,,,,,,1,L among T,21
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,442,200,1,6,0.781927047021,1,L,12,z,1,2016,,,,,,,1,L among T,22
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,434,200,1,7,3.04164402334,1,L,4,z,1,2016,,,,,,,1,L among T,23
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,511,200,1,8,5.64067595175,0,L,2,a,1,2016,,,,,,,1,L among T,24
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,472,200,1,9,6.06260406307,0,L,4,a,1,2015,,,,,,,1,L among T,25
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,685,200,1,10,2.35866647467,0,L,12,z,0,2013,,,,,,,1,L among T,26
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,457,200,1,11,6.13738618617,0,L,12,a,1,2016,,,,,,,1,L among T,27
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,676,200,1,12,0.801278173465,1,L,12,z,1,2015,,,,,,,1,L among T,28
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,480,200,1,13,0.858602569295,0,L,8,a,1,2016,,,,,,,1,L among T,29
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,518,200,1,14,1.7531986071,1,L,2,z,1,2015,,,,,,,1,L among T,30
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,426,200,1,15,3.91815632747,1,L,4,z,1,2014,,,,,,,1,L among T,31
vs12,benlakhal,1,0,13Dec2010,1336,pTSer,500,684,200,1,16,4.4872324851,1,L,8,z,1,2015,,,,,,,1,L among T,32
vs12,benlakhal,1,0,13Dec2010,1341,tSerial,500,512,200,1,1,5.55568778934,1,L,12,a,0,3146,0,35.352,711,7584,13762,18109,1,L among T,33
vs12,benlakhal,1,0,13Dec2010,1342,tSerial,500,605,200,1,2,3.05267747619,0,L,2,z,0,12385,1,24.37,623,13226,14313,15571,1,L among T,34
vs12,benlakhal,1,0,13Dec2010,1342,tSerial,500,654,200,1,3,2.34988452792,0,L,4,a,1,557,0,1.428,866,7052,12302,19996,1,L among T,35
vs12,benlakhal,1,0,13Dec2010,1343,tSerial,500,446,200,1,4,3.63386938644,0,L,12,a,1,469,3,3.228,902,8213,5486,9843,1,L among T,36
vs12,benlakhal,1,0,13Dec2010,1343,tSerial,500,483,200,1,5,4.49498503396,0,L,8,a,1,213,0,0.104,870,6511,7999,8856,1,L among T,37
vs12,benlakhal,1,0,13Dec2010,1343,tSerial,500,470,200,1,6,3.87195419172,0,L,8,a,1,379,4,1.432,686,3910,2552,5411,1,L among T,38
vs12,benlakhal,1,0,13Dec2010,1343,tSerial,500,468,200,1,7,3.43464773918,1,L,8,a,0,726,1,4.208,542,3009,4138,5182,1,L among T,39
vs12,benlakhal,1,0,13Dec2010,1343,tSerial,500,647,200,1,8,6.16538116983,1,L,2,a,0,442,9,0.484,387,12521,4526,14180,1,L among T,40
vs12,benlakhal,1,0,13Dec2010,1344,tSerial,500,541,200,1,9,5.30407199336,1,L,2,z,1,499,9,0.598,358,4211,8685,9800,1,L among T,41
vs12,benlakhal,1,0,13Dec2010,1344,tSerial,500,591,200,1,10,5.32628098158,0,L,12,z,0,413,1,2.556,461,7112,5926,8656,1,L among T,42
vs12,benlakhal,1,0,13Dec2010,1344,tSerial,500,494,200,1,11,0.799560513079,1,L,4,z,1,399,3,0.796,350,9858,4940,13792,1,L among T,43
vs12,benlakhal,1,0,13Dec2010,1344,tSerial,500,547,200,1,12,3.75324362498,1,L,12,z,1,384,2,2.208,425,6296,4053,7267,1,L among T,44
vs12,benlakhal,1,0,13Dec2010,1344,tSerial,500,544,200,1,13,3.40609279745,1,L,4,z,1,399,1,0.796,362,3659,2379,6248,1,L among T,45
vs12,benlakhal,1,0,13Dec2010,1345,tSerial,500,485,200,1,14,2.09116630973,0,L,4,z,0,342,6,0.568,391,2906,2079,10770,1,L among T,46
vs12,benlakhal,1,0,13Dec2010,1345,tSerial,500,514,200,1,15,2.10090616002,0,L,2,z,0,499,10,0.598,336,4167,2651,5766,1,L among T,47
vs12,benlakhal,1,0,13Dec2010,1345,tSerial,500,457,200,1,16,4.06623988281,1,L,8,z,1,385,2,3,462,5707,4367,1894,1,L among T,48
vs12,benlakhal,1,0,13Dec2010,1347,serial,500,532,200,1,1,5.23681737139,1,L,4,a,0,586,0,2,355,7283,5498,8356,0,L among T,49
vs12,benlakhal,1,0,13Dec2010,1347,serial,500,695,200,1,2,2.77723560233,1,L,8,z,1,414,5,3,398,5837,17151,18480,0,L among T,50
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,636,200,1,3,1.8341953758,0,L,4,z,0,370,4,2,457,2351,3595,5168,0,L among T,51
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,624,200,1,4,2.7585234677,1,L,4,z,1,356,1,1,401,3121,1948,4808,0,L among T,52
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,562,200,1,5,4.70023507993,0,L,12,z,0,428,1,2,348,3533,2347,4506,0,L among T,53
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,616,200,1,6,3.30682679267,1,L,8,z,1,471,8,0,328,4824,3610,8085,0,L among T,54
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,626,200,1,7,6.04289246395,1,L,2,z,1,500,9,1,326,6077,4389,7421,0,L among T,55
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,424,200,1,8,5.91267989858,1,L,12,z,1,442,9,2,355,5510,3651,6997,0,L among T,56
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,483,200,1,9,4.35011486176,1,L,12,z,1,399,8,1,317,2876,1203,3920,0,L among T,57
vs12,benlakhal,1,0,13Dec2010,1348,serial,500,624,200,1,10,2.81972428576,0,L,4,z,0,442,2,1,367,3348,2193,4550,0,L among T,58
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,678,200,1,11,5.99592761596,1,L,12,z,1,484,9,1,361,4449,2996,8597,0,L among T,59
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,692,200,1,12,3.13208552634,1,L,2,z,1,428,9,2,405,5367,2107,6568,0,L among T,60
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,532,200,1,13,5.36999476085,0,L,12,z,0,371,5,2,341,12230,3821,14934,0,L among T,61
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,430,200,1,14,5.91973887199,1,L,4,a,0,399,9,1,377,3749,2777,4892,0,L among T,62
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,472,200,1,15,4.4147575576,0,L,8,z,0,400,1,3,372,3877,2692,5136,0,L among T,63
vs12,benlakhal,1,0,13Dec2010,1349,serial,500,664,200,1,16,3.5618530458,0,L,8,z,0,413,8,2,346,5737,2651,7239,0,L among T,64
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,465,200,1,17,4.21952705691,0,L,4,z,0,427,9,2,392,7353,9226,10397,0,L among T,65
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,677,200,1,18,5.91124063944,0,L,4,z,0,757,9,1,370,2238,3009,4368,0,L among T,66
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,523,200,1,19,4.15353510643,0,L,12,z,0,653,2,2,415,3910,2866,4897,0,L among T,67
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,619,200,1,20,2.58609620657,1,L,4,z,1,514,9,1,393,4952,3079,7255,0,L among T,68
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,498,200,1,21,4.76227426407,0,L,12,z,0,426,9,4,356,6056,1794,7214,0,L among T,69
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,546,200,1,22,0.189360803718,0,L,8,z,0,657,9,2,390,4954,2609,5941,0,L among T,70
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,624,200,1,23,3.99763076111,1,L,4,z,1,384,8,2,416,2536,1363,5368,0,L among T,71
vs12,benlakhal,1,0,13Dec2010,1350,serial,500,568,200,1,24,4.96021372233,0,L,2,z,0,522,9,2,317,2951,1950,4081,0,L among T,72
vs12,benlakhal,1,0,13Dec2010,1351,serial,500,629,200,1,25,5.18793501376,1,L,8,z,1,486,8,3,418,3120,1336,4378,0,L among T,73
vs12,benlakhal,1,0,13Dec2010,1351,serial,500,661,200,1,26,2.70502705656,1,L,2,z,1,513,9,1,357,3008,1736,4165,0,L among T,74
vs12,benlakhal,1,0,13Dec2010,1351,serial,500,496,200,1,27,3.21514456694,1,L,12,z,1,357,9,4,385,9227,4355,6825,0,L among T,75
