manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT RecRT Erreur REC Rec2Type RecRT2 Rec2 couleur
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 503 8000 1 1 2.77697918918 False X 8 z 1 17223 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 581 8000 1 2 3.24942886118 False X 4 a 1 2384 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 562 8000 1 3 0.591489556241 True X 4 a 1 1284 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 567 8000 1 4 1.17644304337 False L 8 z 0 2285 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 445 8000 1 5 4.41801795443 False L 4 z 1 5747 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1026 pTMix 500 575 8000 1 6 3.27467136464 True X 8 z 1 1484 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 637 8000 1 7 2.28627558523 False L 16 z 1 4197 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 560 8000 1 8 4.23496904442 False X 16 z 1 1086 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 632 8000 1 9 4.42448078839 True L 4 a 1 1617 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 481 8000 1 10 5.82813640842 False X 4 z 0 1184 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 471 8000 1 11 3.42126778296 True L 8 z 1 4378 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 458 8000 1 12 5.10414391386 True X 8 a 1 2018 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 587 8000 1 13 1.82852593444 True L 16 a 1 2463 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 620 8000 1 14 3.66725097613 True L 16 z 1 1435 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 666 8000 1 15 1.98812023442 True X 16 z 1 1702 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 545 8000 1 16 0.0687882586583 False X 16 z 1 1468 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 607 8000 1 17 3.15345427609 True L 4 a 1 1467 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 557 8000 1 18 6.07575968498 False X 8 z 1 1019 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 448 8000 1 19 3.20611937223 False L 8 a 1 1817 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 663 8000 1 20 0.305122059816 False L 16 z 1 2932 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 508 8000 1 21 1.49695525958 True X 16 a 1 1101 None None None None None None None None None None None None Rouge
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 607 8000 1 22 2.59080033977 False L 4 z 1 1451 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 428 8000 1 23 5.66578655252 True X 4 z 1 1401 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1027 pTMix 500 512 8000 1 24 0.523661449331 True L 8 z 1 1084 None None None None None None None None None None None None Vert
vs12 amelie 4 4 09Nov2011 1028 tMix 500 632 8000 1 1 2.75677344482 False X 8 a 1 1585 None None None None None None None None None A 5229 1 Rouge
vs12 amelie 4 4 09Nov2011 1028 tMix 500 578 8000 1 2 2.61107302099 True X 4 z 1 1900 None None None None None None None None None A 2198 1 Vert
vs12 amelie 4 4 09Nov2011 1029 tMix 500 580 8000 1 3 0.0356717911486 True X 8 a 1 1183 None None None None None None None None None A 4598 1 Rouge
vs12 amelie 4 4 09Nov2011 1029 tMix 500 573 8000 1 4 0.528478925399 False L 8 a 1 2735 None None None None None None None None None B 1517 4 Rouge
vs12 amelie 4 4 09Nov2011 1029 tMix 500 484 8000 1 5 2.43496135061 False X 8 a 1 3034 None None None None None None None None None A 1467 1 Rouge
vs12 amelie 4 4 09Nov2011 1029 tMix 500 627 8000 1 6 4.28616626213 True X 8 z 1 2282 None None None None None None None None None A 2100 3 Vert
vs12 amelie 4 4 09Nov2011 1029 tMix 500 515 8000 1 7 2.57086561096 False X 4 z 1 801 None None None None None None None None None A 2184 1 Vert
vs12 amelie 4 4 09Nov2011 1029 tMix 500 635 8000 1 8 1.72732171254 False X 16 z 1 752 None None None None None None None None None A 2399 1 Vert
vs12 amelie 4 4 09Nov2011 1029 tMix 500 487 8000 1 9 2.89521062695 False X 4 a 1 1748 None None None None None None None None None A 16856 1 Rouge
vs12 amelie 4 4 09Nov2011 1029 tMix 500 700 8000 1 10 4.90549360824 True X 16 z 1 919 None None None None None None None None None A 5230 2 Vert
vs12 amelie 4 4 09Nov2011 1030 tMix 500 435 8000 1 11 3.19829265293 False X 16 z 1 702 None None None None None None None None None A 3016 1 Vert
vs12 amelie 4 4 09Nov2011 1030 tMix 500 440 8000 1 12 5.38043464908 True L 8 z 1 2168 None None None None None None None None None B 1733 4 Vert
vs12 amelie 4 4 09Nov2011 1030 tMix 500 587 8000 1 13 4.08706192498 False L 16 z 1 2832 None None None None None None None None None B 2883 5 Vert
vs12 amelie 4 4 09Nov2011 1030 tMix 500 493 8000 1 14 5.69407675434 True L 8 z 1 1501 None None None None None None None None None B 2697 4 Vert
vs12 amelie 4 4 09Nov2011 1030 tMix 500 501 8000 1 15 1.02618405636 False L 8 a 1 1167 None None None None None None None None None A 3529 3 Rouge
vs12 amelie 4 4 09Nov2011 1030 tMix 500 454 8000 1 16 3.54471542317 True X 4 a 1 2250 None None None None None None None None None A 2617 2 Rouge
vs12 amelie 4 4 09Nov2011 1030 tMix 500 441 8000 1 17 2.15169271932 True L 4 a 1 1833 None None None None None None None None None A 1235 2 Rouge
vs12 amelie 4 4 09Nov2011 1030 tMix 500 658 8000 1 18 5.02021921415 True L 16 a 1 2997 None None None None None None None None None C 2550 6 Rouge
vs12 amelie 4 4 09Nov2011 1030 tMix 500 599 8000 1 19 3.07575012052 False L 4 a 1 1151 None None None None None None None None None B 1301 4 Rouge
vs12 amelie 4 4 09Nov2011 1030 tMix 500 663 8000 1 20 5.49493713441 True L 16 a 1 3601 None None None None None None None None None D 1350 8 Rouge
vs12 amelie 4 4 09Nov2011 1031 tMix 500 419 8000 1 21 0.559284405999 True L 4 z 1 1129 None None None None None None None None None B 1616 4 Vert
vs12 amelie 4 4 09Nov2011 1031 tMix 500 573 8000 1 22 4.03995744157 False L 4 a 1 1650 None None None None None None None None None A 1583 3 Rouge
vs12 amelie 4 4 09Nov2011 1031 tMix 500 429 8000 1 23 0.622155287724 False L 16 a 0 1085 None None None None None None None None None B 3065 4 Vert
vs12 amelie 4 4 09Nov2011 1031 tMix 500 554 8000 1 24 5.01777839321 True X 16 z 0 1167 None None None None None None None None None B 2633 4 Rouge
vs12 amelie 4 4 09Nov2011 1031 mixed 500 552 8000 1 1 1.95329949351 False L 4 a 1 2663 None None None None None None None None None A 3566 2 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 500 8000 1 2 0.732725633762 True L 16 a 1 3881 None None None None None None None None None B 1333 5 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 511 8000 1 3 3.66751227801 True X 4 z 1 1084 None None None None None None None None None A 1049 1 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 557 8000 1 4 1.01159228851 False X 16 z 1 685 None None None None None None None None None A 3015 1 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 514 8000 1 5 1.07235280112 True X 4 a 1 935 None None None None None None None None None A 1184 2 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 653 8000 1 6 4.90876959075 False L 8 z 1 1701 None None None None None None None None None A 2661 3 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 452 8000 1 7 3.42147823496 True L 16 z 1 1270 None None None None None None None None None A 2999 3 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 587 8000 1 8 1.86789731124 True X 4 a 1 1033 None None None None None None None None None A 1298 2 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 457 8000 1 9 5.93809872963 False X 16 z 1 786 None None None None None None None None None A 1583 1 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 547 8000 1 10 2.72145932192 True L 16 a 1 2085 None None None None None None None None None A 1513 3 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 438 8000 1 11 4.98408339847 False L 4 a 1 1083 None None None None None None None None None B 6864 4 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 427 8000 1 12 6.21189680618 False X 4 a 1 901 None None None None None None None None None A 1368 1 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 440 8000 1 13 2.93674130672 False X 16 a 1 701 None None None None None None None None None A 1417 2 Rouge
vs12 amelie 4 4 09Nov2011 1032 mixed 500 570 8000 1 14 2.58643737209 True X 4 z 1 784 None None None None None None None None None A 1184 1 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 495 8000 1 15 3.52415537852 True X 8 z 1 668 None None None None None None None None None A 1367 2 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 592 8000 1 16 5.82647424137 True L 4 z 1 1066 None None None None None None None None None A 1600 2 Vert
vs12 amelie 4 4 09Nov2011 1032 mixed 500 512 8000 1 17 2.86161313662 True L 8 a 1 2666 None None None None None None None None None B 2368 4 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 518 8000 1 18 1.49805398151 True L 8 a 1 2430 None None None None None None None None None B 1432 4 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 409 8000 1 19 6.2517415503 True L 4 a 1 2167 None None None None None None None None None D 1318 8 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 599 8000 1 20 2.23217114372 False X 4 a 1 1334 None None None None None None None None None A 1248 1 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 527 8000 1 21 0.584328278603 True X 8 z 1 701 None None None None None None None None None A 1034 2 Vert
vs12 amelie 4 4 09Nov2011 1033 mixed 500 452 8000 1 22 0.458554006372 True L 8 z 1 2534 None None None None None None None None None A 1084 3 Vert
vs12 amelie 4 4 09Nov2011 1033 mixed 500 641 8000 1 23 3.18197291336 True X 16 a 1 934 None None None None None None None None None A 1050 1 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 416 8000 1 24 0.221318520576 False X 8 a 1 868 None None None None None None None None None A 1518 1 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 474 8000 1 25 1.99801639284 True L 4 a 1 1033 None None None None None None None None None A 1248 1 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 661 8000 1 26 0.732101630828 True X 8 z 0 917 None None None None None None None None None A 3850 3 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 577 8000 1 27 4.62490612008 False X 8 a 1 951 None None None None None None None None None A 2145 2 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 672 8000 1 28 2.89148639756 False L 8 a 1 2434 None None None None None None None None None B 2915 4 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 594 8000 1 29 1.21355774805 True X 16 a 1 1318 None None None None None None None None None A 2482 2 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 450 8000 1 30 5.65820704203 False L 4 a 1 2183 None None None None None None None None None D 1095 8 Rouge
vs12 amelie 4 4 09Nov2011 1033 mixed 500 595 8000 1 31 1.1267278479 True X 8 z 1 1085 None None None None None None None None None A 1034 2 Vert
vs12 amelie 4 4 09Nov2011 1033 mixed 500 552 8000 1 32 4.10632772706 True L 16 a 1 3052 None None None None None None None None None C 1464 6 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 588 8000 1 33 3.96968496445 True L 16 a 1 5736 None None None None None None None None None C 1645 7 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 600 8000 1 34 2.76552500358 False X 16 z 1 1451 None None None None None None None None None A 1032 2 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 679 8000 1 35 3.09556645248 False X 4 a 1 601 None None None None None None None None None A 1550 1 Rouge
