manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,REC,Rec2Type,RecRT2,Rec2,couleur,training,task,trialId
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,503,8000,1,1,2.77697918918,0,X,8,z,1,17223,,,,,,,,,,,,,Vert,1,X among T,1
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,581,8000,1,2,3.24942886118,0,X,4,a,1,2384,,,,,,,,,,,,,Rouge,1,X among T,2
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,562,8000,1,3,0.591489556241,1,X,4,a,1,1284,,,,,,,,,,,,,Rouge,1,X among T,3
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,567,8000,1,4,1.17644304337,0,L,8,z,0,2285,,,,,,,,,,,,,Rouge,1,L among T,4
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,445,8000,1,5,4.41801795443,0,L,4,z,1,5747,,,,,,,,,,,,,Vert,1,L among T,5
vs12,amelie,4,4,09Nov2011,1026,pTMix,500,575,8000,1,6,3.27467136464,1,X,8,z,1,1484,,,,,,,,,,,,,Vert,1,X among T,6
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,637,8000,1,7,2.28627558523,0,L,16,z,1,4197,,,,,,,,,,,,,Vert,1,L among T,7
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,560,8000,1,8,4.23496904442,0,X,16,z,1,1086,,,,,,,,,,,,,Vert,1,X among T,8
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,632,8000,1,9,4.42448078839,1,L,4,a,1,1617,,,,,,,,,,,,,Rouge,1,L among T,9
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,481,8000,1,10,5.82813640842,0,X,4,z,0,1184,,,,,,,,,,,,,Rouge,1,X among T,10
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,471,8000,1,11,3.42126778296,1,L,8,z,1,4378,,,,,,,,,,,,,Vert,1,L among T,11
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,458,8000,1,12,5.10414391386,1,X,8,a,1,2018,,,,,,,,,,,,,Rouge,1,X among T,12
vs12,amelie,4,4,09Nov2011,1027,pTMix,500,587,8000,1,13,1.82852593444,1,L,16,a,1,2463,,,,,,,,,,,,,Rouge,1,L among T,13
