manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,DiffTime,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BUTTON_PRESS_COUNT,DURATION,FIXATION_COUNT,SACCADE_COUNT,training,task,trialId
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,1,3.79721770073,0,L,4,a,1,340,,,,,,,,,,,,Rouge,0,3,0,0,,,0,1758,HUGO,222.14,5.78,2,1894,7,6,0,L among T,1
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,2,0.518255832522,0,X,4,N,0,1500,,,,,,,,,,,,Rouge,0,4,0,0,,,0,784,HUGO,203.5,5.83,2,920,4,3,0,X among T,2
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,3,2.03017224423,1,L,8,N,0,1500,,,,,,,,,,,,Rouge,0,7,0,0,,,0,0,HUGO,182.18,6.91,2,3149,11,10,0,L among T,3
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,4,2.44388932911,1,L,4,a,1,642,,,,,,,,,,,,Rouge,0,1,0,0,,,0,1358,HUGO,174.57,7.73,2,1492,7,6,0,L among T,4
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,5,2.30189103224,0,X,8,a,1,736,,,,,,,,,,,,Rouge,0,7,0,0,,,0,1308,HUGO,173.14,6.53,2,1444,7,6,0,X among T,5
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,6,3.18943221214,1,L,16,a,1,655,,,,,,,,,,,,Rouge,0,15,0,0,,,0,868,HUGO,173.8,3.48,2,1002,5,4,0,L among T,6
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,7,4.15596475355,0,X,16,z,1,347,,,,,,,,,,,,Vert,0,15,0,0,,,0,1440,HUGO,82.33,13.67,2,1574,3,2,0,X among T,7
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,8,5.33182196658,0,L,8,z,1,452,,,,,,,,,,,,Vert,0,8,0,0,,,0,994,HUGO,185.6,0,2,1133,5,5,0,L among T,8
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,9,3.15460290398,1,X,8,z,1,314,,,,,,,,,,,,Vert,0,4,0,0,,,0,1539,HUGO,163,6.27,2,1673,8,8,0,X among T,9
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,10,0.0102878127692,1,X,4,z,1,294,,,,,,,,,,,,Vert,0,2,0,0,,,0,1249,HUGO,281,2.41,2,1383,4,3,0,X among T,10
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,11,2.52364028597,1,X,16,a,1,309,,,,,,,,,,,,Rouge,0,14,0,0,,,0,1959,HUGO,176.88,0,0,2096,8,8,0,X among T,11
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,12,2.95380074476,0,L,16,a,1,632,,,,,,,,,,,,Rouge,0,11,0,0,,,0,1725,HUGO,200,4.92,2,1863,6,5,0,L among T,12
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,1,3.4648317935,0,L,4,a,1,310,,,,,,,,,,,,Rouge,0,4,0,0,,,0,384,HUGO,216,7.54,2,520,2,1,0,L among T,13
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,2,4.20944891868,0,X,4,a,1,821,,,,,,,,,,,,Rouge,0,4,0,0,,,0,677,HUGO,172.5,2.28,2,812,4,4,0,X among T,14
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,3,4.96645790255,1,L,8,a,1,589,,,,,,,,,,,,Rouge,0,6,0,0,,,0,981,HUGO,183.5,0,2,1119,4,4,0,L among T,15
