manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1031,mixed,500,400,2000,1,36,2.8951883558,0,L,8,N,0,1000,,,,,,,,,A,4184,3,Rouge,0,3,0,0,,,0,AM,2994,0,0,0,1,3000,0,,,0,L among T,1
vs12,am,4,2,08Feb2013,1037,mixed,500,400,2000,3,12,5.40791664869,1,L,8,a,1,1158,,,,,,,,,A,2260,3,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,2
vs12,am,4,2,08Feb2013,1037,mixed,500,400,2000,3,10,2.33280640118,0,L,4,z,1,624,,,,,,,,,A,4362,1,Vert,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,3
vs12,am,4,2,08Feb2013,1030,mixed,500,400,2000,1,28,3.68667782442,0,L,16,z,0,591,,,,,,,,,A,1565,3,Rouge,0,9,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,4
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,16,0.236227194256,1,L,16,z,1,670,,,,,,,,,A,2388,3,Vert,0,13,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,5
vs12,am,4,2,08Feb2013,1042,mixed,500,400,2000,4,18,3.65247656986,1,X,4,a,1,406,,,,,,,,,A,2527,1,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,6
vs12,am,4,2,08Feb2013,1058,mixed,500,400,2000,7,36,2.7238805096,0,X,8,z,1,316,,,,,,,,,A,844,0,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,7
vs12,am,4,2,08Feb2013,1048,mixed,500,400,2000,5,34,3.30320743124,1,X,8,z,1,381,,,,,,,,,B,4421,4,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,8
vs12,am,4,2,08Feb2013,1057,mixed,500,400,2000,7,29,3.54399796045,1,L,8,a,1,376,,,,,,,,,A,1249,1,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,9
vs12,am,4,2,08Feb2013,1029,mixed,500,400,2000,1,17,1.82129530622,1,X,8,z,1,339,,,,,,,,,A,3465,2,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,10
vs12,am,4,2,08Feb2013,1047,mixed,500,400,2000,5,25,0.482689943622,0,X,8,a,1,378,,,,,,,,,A,2938,0,Rouge,0,5,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,11
vs12,am,4,2,08Feb2013,1018,Ent1,500,400,2000,1,10,4.28272056448,0,L,16,z,0,405,,,,,,,,,,,,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,12
vs12,am,4,2,08Feb2013,1019,Ent1,500,400,2000,1,4,3.16337312333,0,L,4,z,1,1468,,,,,,,,,,,,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,13
